"TAZ_NG","TAZ_TRM_6.2","County","ATYPE","HH","HH_POP","MEANINC","Stud_GQ","Other_NonInst_GQ","Inst_GQ","Total_POP","StudGQ_NCSU","StudGQ_UNC","StudGQ_DUKE","StudGQ_NCCU","BuildingS_NCSU","BuildingS_UNC","BuildingS_DUKE","BuildingS_NCCU","Industry","Office","Service_RateLow","Service_RateHigh","Retail","IndOff_EarnLow","IndOff_EarnHigh","Service_EarnLow","Service_EarnHigh","Retail_EarnLow","Retail_EarnHigh","ADT","PCTCV","PCTAUTOEE","PCTCVEE","ZONEAREA","SHORTWALKA","LONGWALKAM","SHORTWALKO","LONGWALKOP","DISTGROUP","EXTERNAL","District","AVEBLOCK_P","AVEBLOCK_A","RoadwayLen","NMPathLen","ENROLLMENT","PASA","PrkRestrict","PASAYear","PrkCosW1","PrkCosW2","PrkCosW3","PrkCosO1","PrkCosO2","PrkCosO3","PrkCosU1","PrkCosU2","PrkCosU3","Campus","Campus_NCSU","Campus_UNC","Campus_DUKE","Campus_NCCU","In_ShortWalk_NCSU","In_ShortWalk_UNC","In_ShortWalk_DUKE","In_ShortWalk_NCCU","Housing_NCSU","Housing_UNC","Housing_DUKE","Housing_NCCU","NCSU_OFF","UNC_OFF","DUKE_OFF","NCCU_OFF","TOT_Area1","TOT_POP1","TOT_EMP1","EmpDen1","Density1","TRM_6.2_Fill","lehd_emp"
2889,859,"Harnett",4,411,1124,62742,0,0,0,1124,0,0,0,0,0,0,0,0,57,22,45,0,2,26.6552,52.3448,28.4548,16.5452,1.5625,0.4375,0,0.0000,0.0000,0.0000,4.69999,0.0000,0.0000,0.0000,0.0000,0.0000,0,31,0.0000,0.67112,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.682325,0.01076,0.003867,0.003938,0.781292,186,20,25.5986,286.486,,69
2890,860,"Harnett",3,240,555,51286,0,0,0,555,0,0,0,0,0,0,0,0,13,39,123,31,133,40.1927,11.8073,130.168,23.8316,133,0.00,0,0.0000,0.0000,0.0000,0.307559,0.0000,0.0000,0.0000,0.0000,0.0000,0,31,0.0000,0.030727,0.00,0.043484,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.790143,0.0113,0.004478,0.004561,0.781287,1005,552,706.527,2622.697,,230
2891,861,"Harnett",3,52,137,62742,0,0,0,137,0,0,0,0,0,0,0,0,0,220,0,0,0,179.756,40.2439,0.00,0.00,0.00,0.00,0,0.0000,0.0000,0.0000,0.338645,0.0000,0.0000,0.0000,0.0000,0.0000,0,31,0.0000,0.338189,0.00,0.00,2641,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.052858,0.002474,0.000311,0.000317,0.781291,258,228,291.825,882.193,,247
2892,862,"Harnett",3,35,132,70666,0,0,0,132,0,0,0,0,0,0,0,0,95,6,108,24,40,85.6501,15.3499,104.464,27.5362,40,0.00,0,0.0000,0.0000,0.0000,0.098046,0.0000,0.0000,0.0000,0.0000,0.0000,0,31,0.0000,0.019548,0.00,0.04592,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.131188,0.002216,0.000594,0.000605,0.781261,828,514,657.910,2304.226,,157
2893,863,"Harnett",3,182,463,62742,0,0,0,463,0,0,0,0,0,0,0,0,0,10,14,0,50,3.5,6.5,2.24051,11.7595,50,0.00,0,0.0000,0.0000,0.0000,0.435824,0.0000,0.0000,0.0000,0.0000,0.0000,0,31,0.0000,0.048141,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.490682,0.007738,0.002781,0.002832,0.781306,775,318,407.011,1761.769,,109
2894,864,"Harnett",3,351,890,56596,0,0,0,890,0,0,0,0,0,0,0,0,72,31,65,25,8,31.0267,71.9733,80.007,9.99297,3.55556,4.44444,0,0.0000,0.0000,0.0000,0.826744,0.0000,0.0000,0.0000,0.0000,0.0000,0,31,0.0000,0.05147,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1.26896,0.014826,0.007191,0.007324,0.781314,853,222,284.137,1629.179,,77
2895,865,"Harnett",4,283,819,56581,0,9,0,828,0,0,0,0,0,0,0,0,3,1,60,0,0,4,0.00,60,0.00,0.00,0.00,0,0.0000,0.0000,0.0000,1.35685,0.0000,0.0000,0.0000,0.0000,0.0000,0,31,0.0000,0.193632,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1.25408,0.014652,0.007107,0.007238,0.781288,449,35,44.7978,659.425,,10
2896,866,"Harnett",4,237,634,62742,0,0,0,634,0,0,0,0,0,0,0,0,84,17,5,0,2,68.186,32.814,0.00,5,1.5625,0.4375,0,0.0000,0.0000,0.0000,3.02131,0.0000,0.0000,0.0000,0.0000,0.0000,0,31,0.0000,0.754545,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.335813,0.005296,0.001903,0.001938,0.781251,163,27,34.56,274.008,,104
2897,867,"Harnett",4,421,973,48996,0,0,0,973,0,0,0,0,0,0,0,0,16,8,6,0,9,16.4918,7.50817,5.125,0.875,8.125,0.875,0,0.0000,0.0000,0.0000,3.38698,0.0000,0.0000,0.0000,0.0000,0.0000,0,31,0.0000,0.42289,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.231208,0.010236,0.004079,0.004154,0.78128,224,8,10.2396,306.077,,70
2898,868,"Harnett",4,95,262,49007,0,0,0,262,0,0,0,0,0,0,0,0,30,8,17,0,52,38,0.00,17,0.00,40.6743,11.3257,0,0.0000,0.0000,0.0000,1.53568,0.0000,0.0000,0.0000,0.0000,0.0000,0,31,0.0000,0.383558,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.097024,0.003498,0.001697,0.001728,0.781283,163,52,66.5572,334.520,,97
2899,869,"Harnett",3,282,710,48996,0,0,0,710,0,0,0,0,0,0,0,0,23,66,53,32,27,81.5659,7.43408,84.3684,0.631579,21.1513,5.84868,0,0.0000,0.0000,0.0000,0.363129,0.0000,0.0000,0.0000,0.0000,0.0000,0,31,0.0000,0.020158,0.00,0.428513,453,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.835809,0.013181,0.004736,0.004824,0.781294,1199,343,439.015,2365.006,,125
2900,870,"Harnett",3,464,1087,56580,0,3,29,1119,0,0,0,0,0,0,0,0,55,117,161,22,30,138.578,33.4219,143.023,39.9769,12.5848,17.4152,0,0.0000,0.0000,0.0000,0.383545,0.0000,0.0000,0.0000,0.0000,0.0000,0,31,0.0000,0.016481,0.00,0.733272,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1.46158,0.017076,0.008283,0.008436,0.781303,1544,502,642.516,3191.471,,302
2901,871,"Harnett",4,139,412,48997,0,33,0,445,0,0,0,0,0,0,0,0,58,8,30,0,2,65.2537,0.746269,29.5625,0.4375,1.5625,0.4375,0,0.0000,0.0000,0.0000,1.87333,0.0000,0.0000,0.0000,0.0000,0.0000,0,31,0.0000,0.468037,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.141567,0.001076,0.000522,0.000532,0.781303,163,32,40.9572,286.094,,65
2902,872,"Harnett",4,153,425,48996,0,0,0,425,0,0,0,0,0,0,0,0,2,5,7,0,2,0.00,7,7,0.00,1.5625,0.4375,0,0.0000,0.0000,0.0000,2.41088,0.0000,0.0000,0.0000,0.0000,0.0000,0,31,0.0000,0.803174,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.087565,0.000641,0.000311,0.000317,0.781284,137,5,6.39972,187.457,,0
2903,873,"Harnett",4,130,330,88032,0,0,0,330,0,0,0,0,0,0,0,0,1,32,0,0,0,22.3854,10.6146,0.00,0.00,0.00,0.00,0,0.0000,0.0000,0.0000,11.3657,0.0000,0.0000,0.0000,0.0000,0.0000,0,31,0.0000,1.26285,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.050742,0.017547,0.000965,0.000571,0.781269,22,2,2.55994,33.0013,,17
2904,874,"Harnett",4,629,1621,87821,0,0,0,1621,0,0,0,0,0,0,0,0,73,70,4,3,17,86.4025,56.5975,2.66667,4.33333,17,0.00,0,0.0000,0.0000,0.0000,8.41429,0.0000,0.0000,0.0000,0.0000,0.0000,0,31,0.0000,0.560656,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1.56872,0.345877,0.02415,0.017668,0.781288,150,15,19.1991,228.305,,90
