"A112109 - Number of Workers in household (6) (Households)"
"Current date: 12/11/2020 11:03:50 AM (Eastern Standard Time)"
"RESIDENCE","Number of Workers in Household 6","Output","Households",
"TAZ 00100519, Durham County, North Carolina","2 workers","Estimate","30"
"TAZ 00100519, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100519, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100521, Durham County, North Carolina","Total, number of workers in household","Estimate","195"
"TAZ 00100521, Durham County, North Carolina","0 workers","Estimate","25"
"TAZ 00100521, Durham County, North Carolina","1 worker","Estimate","130"
"TAZ 00100521, Durham County, North Carolina","2 workers","Estimate","15"
"TAZ 00100521, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100521, Durham County, North Carolina","4-or-more workers","Estimate","25"
"TAZ 00100524, Durham County, North Carolina","Total, number of workers in household","Estimate","0"
"TAZ 00100524, Durham County, North Carolina","0 workers","Estimate","0"
"TAZ 00100524, Durham County, North Carolina","1 worker","Estimate","0"
"TAZ 00100524, Durham County, North Carolina","2 workers","Estimate","0"
"TAZ 00100524, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100524, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100527, Durham County, North Carolina","Total, number of workers in household","Estimate","25"
"TAZ 00100527, Durham County, North Carolina","0 workers","Estimate","25"
"TAZ 00100527, Durham County, North Carolina","1 worker","Estimate","0"
"TAZ 00100527, Durham County, North Carolina","2 workers","Estimate","0"
"TAZ 00100527, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100527, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00101005, Durham County, North Carolina","Total, number of workers in household","Estimate","330"
"TAZ 00101005, Durham County, North Carolina","0 workers","Estimate","190"
"TAZ 00101005, Durham County, North Carolina","1 worker","Estimate","85"
"TAZ 00101005, Durham County, North Carolina","2 workers","Estimate","40"
"TAZ 00101005, Durham County, North Carolina","3 workers","Estimate","10"
"TAZ 00101005, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00101010, Durham County, North Carolina","Total, number of workers in household","Estimate","0"
"TAZ 00101010, Durham County, North Carolina","0 workers","Estimate","0"
"TAZ 00101010, Durham County, North Carolina","1 worker","Estimate","0"
"TAZ 00101010, Durham County, North Carolina","2 workers","Estimate","0"
"TAZ 00101010, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00101010, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00104001, Durham County, North Carolina","Total, number of workers in household","Estimate","210"
"TAZ 00104001, Durham County, North Carolina","0 workers","Estimate","100"
"TAZ 00104001, Durham County, North Carolina","1 worker","Estimate","60"
"TAZ 00104001, Durham County, North Carolina","2 workers","Estimate","15"
"TAZ 00104001, Durham County, North Carolina","3 workers","Estimate","25"
"TAZ 00104001, Durham County, North Carolina","4-or-more workers","Estimate","10"
"TAZ 00104002, Durham County, North Carolina","Total, number of workers in household","Estimate","190"
"TAZ 00104002, Durham County, North Carolina","0 workers","Estimate","50"
"TAZ 00104002, Durham County, North Carolina","1 worker","Estimate","50"
"TAZ 00104002, Durham County, North Carolina","2 workers","Estimate","95"
"TAZ 00104002, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00104002, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00104004, Durham County, North Carolina","Total, number of workers in household","Estimate","355"
"TAZ 00104004, Durham County, North Carolina","0 workers","Estimate","45"
