taz,airport_productions,lng,lat,TAZ_TRM_6.2,County,ATYPE,HH,HH_POP,MEANINC,Stud_GQ,Other_NonInst_GQ,Inst_GQ,Total_POP,StudGQ_NCSU,StudGQ_UNC,StudGQ_DUKE,StudGQ_NCCU,BuildingS_NCSU,BuildingS_UNC,BuildingS_DUKE,BuildingS_NCCU,Industry,Office,Service_RateLow,Service_RateHigh,Retail,IndOff_EarnLow,IndOff_EarnHigh,Service_EarnLow,Service_EarnHigh,Retail_EarnLow,Retail_EarnHigh,ADT,PCTCV,PCTAUTOEE,PCTCVEE,ZONEAREA,SHORTWALKA,LONGWALKAM,SHORTWALKO,LONGWALKOP,DISTGROUP,EXTERNAL,District,AVEBLOCK_P,AVEBLOCK_A,RoadwayLen,NMPathLen,ENROLLMENT,PASA,PrkRestrict,PASAYear,PrkCosW1,PrkCosW2,PrkCosW3,PrkCosO1,PrkCosO2,PrkCosO3,PrkCosU1,PrkCosU2,PrkCosU3,Campus,Campus_NCSU,Campus_UNC,Campus_DUKE,Campus_NCCU,In_ShortWalk_NCSU,In_ShortWalk_UNC,In_ShortWalk_DUKE,In_ShortWalk_NCCU,Housing_NCSU,Housing_UNC,Housing_DUKE,Housing_NCCU,NCSU_OFF,UNC_OFF,DUKE_OFF,NCCU_OFF,TOT_Area1,TOT_POP1,TOT_EMP1,EmpDen1,Density1,TRM_6.2_Fill,lehd_emp,Pct_Worker,PctHighEarn,employment,workers,high_earners,observed_productions,estimated_productions
39,11,-78.98068591999476,35.743970051643124,39,Chatham,4,123,273,93577,0,0,0,273,0,0,0,0,0,0,0,0,17,17,38,4,35,16.8883,17.1117,40.3386,1.66136,35,0,0,0,0,0,2.87899,0,0,0,0,0,0,18,0,0.358727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675352,3.55319,0.241368,0.258731,0.778728,73,30,38.5244,166.609,NA,138,43,51,111,117.39,59.868900000000004,17.740027953983443,9.992939535731134
40,2,-78.9828994664952,35.79372021840954,40,Chatham,4,175,437,110485,0,0,0,437,0,0,0,0,0,0,0,0,13,32,29,0,8,28.9421,16.0579,22.9364,6.0636,8,0,0,0,0,0,4.87928,0,0,0,0,0,0,18,0,4.87885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.582175,7.63001,0.798551,0.73416,0.781388,69,13,16.6371,119.772,NA,31,33,39,82,144.21,56.24190000000001,3.2254596279969894,7.9035880189041885
46,3,-79.03825857644244,35.62917651135808,46,Chatham,4,78,160,76716,0,0,0,160,0,0,0,0,0,0,0,0,304,4,5,0,2,190.612,117.388,5,0,2,0,0,0,0,0,3.13743,0,0,0,0,0,0,21,0,0.784359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286799,0.46954,0.013272,0.00323,0.781338,39,78,99.8288,238.735,NA,83,43,47,315,68.8,32.336,4.838189441995484,18.54732004160955
49,0,-79.02734048370579,35.59882618003797,49,Chatham,4,73,178,76837,0,0,0,178,0,0,0,0,0,0,0,0,505,13,8,2,2,308.022,209.978,10,0,2,0,0,0,0,0,9.82642,0,0,0,0,0,0,21,0,1.96508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31621,0.264283,0.005951,0.003561,0.781296,14,42,53.7568,119.597,NA,661,43,77,530,76.53999999999999,58.93579999999999,0,30.562659456959736
50,0,-79.00858228674076,35.670445595875954,50,Chatham,4,174,465,76933,0,0,0,465,0,0,0,0,0,0,0,0,47,29,24,0,0,30.4494,45.5506,18.9402,5.05978,0,0,0,0,0,0,10.6395,0,0,0,0,0,0,21,0,5.31945,0,0.013851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836936,2.74139,0.084452,0.090527,0.781314,34,7,8.95927,60.4624,NA,104,43,25,100,199.95,49.9875,0,8.438039643525087
51,0,-78.98631523370263,35.55008089947895,51,Chatham,4,42,99,76933,0,0,0,99,0,0,0,0,0,0,0,0,5,5,2,0,0,6.28676,3.71324,2,0,0,0,0,0,0,0,6.62519,0,0,0,0,0,0,21,0,6.62336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053126,0.044743,0.001,5.98e-4,0.781308,11,1,1.27991,16.4998,NA,0,43,50,12,42.57,21.285,0,3.5372844695841046
53,8,-79.06771385917699,35.61675047312932,53,Chatham,4,147,323,64754,0,0,0,323,0,0,0,0,0,0,0,0,22,36,21,12,9,52.5085,5.4915,27.2267,5.77327,9,0,0,0,0,0,2.50843,0,0,0,0,0,0,21,0,0.358347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386403,0.63261,0.017881,0.004352,0.772681,99,30,38.8259,201.562,NA,78,43,37,100,138.89,51.38929999999999,12.901838511987958,9.113617785953771
55,0,-79.07480688061523,35.63842122613282,55,Chatham,4,120,316,64754,0,0,0,316,0,0,0,0,0,0,0,0,25,56,6,0,0,59.5154,21.4846,6,0,0,0,0,0,0,0,1.75926,0,0,0,0,0,0,21,0,0.251223,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371533,0.608214,0.017193,0.004184,0.781352,137,37,47.3538,264.904,NA,13,43,50,87,135.88,67.94,0,9.500768322061141
65,3,-79.1666702045343,35.73334341027196,65,Chatham,3,445,1037,84968,0,0,0,1037,0,0,0,0,0,0,0,0,53,41,193,31,416,61.9765,32.0235,131.199,92.8007,396.678,19.3215,0,0,0,0,1.30121,5.1206,10.7433,0,0,0,0,8,0,0.072225,0,2.32909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376126,12.7754,0.460801,0.119914,0.781372,504,349,446.65,1489.834,NA,799,45,19,734,466.65000000000003,88.66350000000001,4.838189441995484,39.03673696101206
81,49,-78.83840055914955,35.87160937700552,81,Durham,2,0,0,92111,0,0,0,0,0,0,0,0,0,0,0,0,195,427,49,10,8,158.732,463.268,24.7265,34.2735,4.18182,3.81818,0,0,0,0,0.211724,60.7609,39.2391,0,0,0,0,37,0,0.10576,0,0.222191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781412,47,2864,3665.16,6992.597,NA,1321,72,49,689,0,0,79.02376088592624,20.92363955797237
82,21,-78.85406560000698,35.86940652695624,82,Durham,2,394,915,92111,0,0,0,915,0,0,0,0,0,0,0,0,55,39,14,0,0,36.9447,57.0553,6.27341,7.72659,0,0,0,0,0,0,0.084192,35.409,64.591,0,0,0,0,37,0,0.016545,0,1.47102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96767,12.3078,6.50189,5.46577,0.781418,2157,1836,2349.575,7204.459,NA,3,72,69,108,658.8,454.57199999999995,33.86732609396839,43.24006152510877
83,342,-78.8447640423045,35.88260827039738,83,Durham,2,0,0,92111,0,0,0,0,0,0,0,0,0,0,0,0,0,236,327,180,28,57.1346,178.865,269.582,237.418,14.6364,13.3636,0,0,0,0,0.134227,57.3011,42.6989,0,0,0,0,37,0,0.043801,0,0.683496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781435,808,4953,6338.335,13022.611,NA,80,72,88,771,0,0,322.54596279969894,23.879287860130777
84,54,-78.85192369303213,35.87956943639691,84,Durham,2,292,533,92111,0,6,0,539,0,0,0,0,0,0,0,0,17,17,57,79,66,8.15114,25.8489,55.2832,80.7168,60.7146,5.28537,0,0,0,0,0.055825,57.6837,42.3163,0,0,0,0,37,0,0.055394,0,0.303028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67511,10.2325,4.7992,4.00179,0.781402,873,4606,5894.535,12266.416,NA,285,72,74,236,383.76,283.9824,87.08740995591872,37.344435064497276
85,3,-78.85860433835938,35.8919228069504,85,Durham,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,225,0,0,0,82.7857,179.214,0,0,0,0,0,0,0,0,0.088514,31.7822,68.2178,0,0,0,0,37,0,0.086147,0,0.253853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781434,1,2936,3757.194,7107.808,NA,0,50,85,262,0,0,4.838189441995484,7.9039497789034945
86,10,-78.94515834961189,36.00932617499954,86,Durham,1,657,1114,39869,0,0,0,1114,0,0,0,0,0,0,0,0,16,16,302,0,310,14.1236,17.8764,105.343,196.657,310,0,0,0,0,0,0.03559,100,0,0,0,0,0,16,0,0.035386,0,0.433709,0,2,2,2013,267,133,89,200,100,67,74,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63064,41.2912,98.3232,25.1415,0.781515,5986,16771,21459.59,48249.129,NA,326,43,15,644,479.02,71.853,16.127298139984948,26.49283559488117
111,0,-78.89457280623637,36.013303137770656,111,Durham,2,162,364,78078,0,0,0,364,0,0,0,0,0,0,0,0,45,7,11,0,0,31.9643,20.0357,7.5,3.5,0,0,0,0,0,0,0.172379,66.7584,33.2416,0,0,0,0,16,0,0.019081,0,1.44244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761324,5.76199,12.7134,6.78653,0.781478,2509,431,551.519,4253.75,NA,30,54,73,63,196.56,143.4888,0,15.784869286983987
127,0,-78.90911410468007,36.0068388773652,127,Durham,2,541,1088,61155,0,6,0,1094,0,0,0,0,0,0,0,0,14,123,22,6,0,90.3804,46.6196,24.7979,3.20205,0,0,0,0,0,0,0.157153,100,0,0,0,0,0,16,0,0.005603,0,5.56485,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22321,21.4169,59.7699,27.9594,0.781485,4914,3444,4406.993,14623.613,NA,35,57,34,165,620.16,210.8544,0,23.023440481216237
141,0,-78.92636965403676,36.00883759206885,141,Durham,2,163,262,57619,0,0,0,262,0,0,0,0,0,0,0,0,0,154,195,95,132,57.7739,96.2261,121.295,168.705,123.599,8.40085,0,0,0,0,0.03326,100,0,0,0,0,0,16,0,0.016561,0,0.370334,0,2,1,2013,267,133,89,200,100,67,74,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632819,5.91035,16.6797,5.75115,0.781486,5236,7410,9481.939,24634.633,NA,20,56,22,576,146.72000000000003,32.278400000000005,0,23.39806136179957
142,9,-78.9236540433232,36.008424555633425,142,Durham,2,548,957,57619,0,0,0,957,0,0,0,0,0,0,0,0,4,17,126,144,304,10.4462,10.5538,203.333,66.6674,286.87,17.1305,0,0,0,0,0.043161,100,0,0,0,0,0,16,0,0.043119,0,0.525366,0,2,1,2013,267,133,89,200,100,67,74,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44579,22.4547,58.8473,21.9761,0.78147,5923,4768,6101.319,19119.614,NA,829,56,22,595,535.9200000000001,117.90240000000001,14.514568325986453,42.18214628966017
143,3,-78.92092942823402,36.00692226323203,143,Durham,2,0,0,57619,0,0,0,0,0,0,0,0,0,0,0,0,1,1,41,0,242,1.45454,0.545455,24.6043,16.3957,238,4,0,0,0,0,0.011911,100,0,0,0,0,0,16,0,0.005875,0,0.438938,0,2,1,2013,267,133,89,200,100,67,74,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781485,6232,5436,6955.992,21131.447,NA,294,56,20,285,0,0,4.838189441995484,15.463125902523183
144,5,-78.9441457894919,36.01704677025153,144,Durham,2,0,0,39453,0,0,0,0,0,0,0,0,0,0,0,0,0,32,194,27,323,25.7241,6.27586,166.849,54.1513,303.82,19.1799,0,0,0,0,0.14698,97.4449,2.5551,0,0,0,0,16,0,0.072791,0,0.877813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781485,3451,2151,2752.454,9622.07,NA,564,43,21,576,0,0,8.063649069992474,23.137557784404827
152,3,-78.92082578353596,36.00967307676691,152,Durham,2,232,424,57619,0,0,0,424,0,0,0,0,0,0,0,0,20,159,425,37,419,104.373,74.627,236.62,225.38,397.25,21.75,0,0,0,0,0.039819,100,0,0,0,0,0,16,0,0.006535,0,1.15649,0,2,1,2013,267,133,89,200,100,67,74,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13066,10.3323,27.3833,10.096,0.781512,6105,4914,6287.81,19704.829,NA,600,56,17,1060,237.44000000000003,40.36480000000001,4.838189441995484,36.61606161078046
157,0,-78.92361038861303,36.00270217555309,157,Durham,2,279,500,21064,48,0,0,548,0,0,48,0,0,0,12,0,30,64,4,0,0,43.7891,50.2109,2.85714,1.14286,0,0,0,0,0,0,0.068242,100,0,0,0,0,0,16,0,0.068239,0,0.511367,0,2,1,2013,267,133,89,200,100,67,74,37,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781476,4882,3835,4907.377,15529.185,NA,66,47,8,98,235,18.8,0,5.74863544026808
165,1,-78.92876176627585,35.97717524000527,165,Durham,2,1030,2291,65675,0,128,0,2419,0,0,0,0,0,0,0,0,28,115,546,29,312,28.5132,114.487,474.457,100.543,307.215,4.78539,0,0,0,0,0.49017,89.7449,10.2551,0,0,0,0,16,0,0.026899,0,0.910821,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66677,82.7351,107.744,59.1816,0.781497,3068,1284,1643,7033.442,NA,962,54,26,1030,1237.14,321.6564,1.6127298139984947,52.95115291023147
167,0,-78.93929728020339,35.97934777687089,167,Durham,2,100,231,62201,0,6,0,237,0,0,0,0,0,0,0,0,4,22,25,4,6,21.4082,4.59184,9.44681,19.5532,6,0,0,0,0,0,0.13985,53.396,46.4871,0,0,0,0,16,0,0.027805,0,1.0409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461498,9.585,14.0285,5.22183,0.781477,1988,637,815.123,4085.663,NA,20,54,48,61,124.74000000000001,59.8752,0,7.814319123645127
177,0,-78.91168636572758,35.99962731006927,177,Durham,2,4,4,58365,0,0,0,4,0,0,0,0,0,0,0,0,20,280,239,12,120,144.908,155.092,124.021,126.979,80.4,39.6,0,0,0,0,0.050979,100,0,0,0,0,0,16,0,0.025416,0,0.702601,0,6,1,2013,268,134,89,150,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013233,0.089309,0.233421,0.110629,0.781496,4313,5747,7353.847,19428.307,NA,296,52,14,671,2.08,0.2912,0,16.29919165877652
275,0,-78.89264782514894,35.98878413226948,275,Durham,2,205,313,26506,0,0,0,313,0,0,0,0,0,0,0,0,7,128,22,5,4,100.286,34.7143,25.0476,1.95238,4,0,0,0,0,0,0.028562,100,0,0,0,0,0,16,0,0.014276,0,0.650877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86775,6.8414,20.2437,14.5643,0.781471,3000,3513,4495.37,12341.664,NA,95,39,13,166,122.07000000000001,15.869100000000001,0,6.455693710588594
316,10,-78.93256198884926,36.002968909277605,316,Durham,1,135,261,15983,240,0,0,501,0,0,240,0,0,0,0,0,9,44,40,0,6,34.7924,18.2076,34.7541,5.2459,5.21312,0.786885,0,0,0,0,0.1392,100,0,0,0,0,0,16,0,0.069555,0,1.18611,0,2,1,2013,267,133,89,200,100,67,74,37,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781474,4891,19320,24722.513,53019.977,NA,0,47,74,99,122.66999999999999,90.77579999999999,16.127298139984948,10.776144905921772
317,2,-78.94531000549867,36.01290504507791,317,Durham,2,915,1825,36172,0,7,69,1901,0,0,0,0,0,0,0,0,0,52,155,0,0,31.7778,20.2222,52.1522,102.848,0,0,0,0,0,0,0.126508,100,0,0,0,0,0,16,0,0.042033,0,0.305476,0,2,2,2013,267,133,89,200,100,67,74,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9587,69.8494,150.919,38.723,0.781482,5521,9283,11878.716,29532.73,NA,174,43,32,207,784.75,251.12,3.2254596279969894,23.738378849985445
319,2,-78.93539969415238,36.01079556314111,319,Durham,1,16,26,30140,0,0,0,26,0,0,0,0,0,0,0,0,4,473,618,86,0,57.4277,419.572,438.811,265.189,0,0,0,0,0,0,0.04725,100,0,0,0,0,0,16,0,0.015583,0,0.659271,0,2,2,2013,267,133,89,200,100,67,74,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07491,0.898637,2.32773,0.697057,0.781502,3150,22278,28506.662,57949.503,NA,23,43,23,1181,11.18,2.5714,3.2254596279969894,19.41710529210572
323,0,-78.9532280799126,36.0069326376012,323,Durham,2,406,932,31877,0,0,0,932,0,0,0,0,0,0,0,0,14,86,58,3,0,77.6429,22.3571,40.538,20.462,0,0,0,0,0,0,0.061415,100,0,0,0,0,0,16,0,0.061296,0,0.568078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10803,43.8515,83.6498,21.9907,0.781484,3977,4049,5181.165,14888.925,NA,72,43,31,161,400.76,124.23559999999999,0,14.648411949988985
324,2,-78.95093259443001,36.012971000043095,324,Durham,2,529,1015,32355,36,0,0,1051,0,0,0,0,0,0,0,0,11,29,49,256,53,17.8965,22.1035,275.055,29.9449,51.2,1.8,0,0,0,0,0.152437,99.4391,0.5609,0,0,0,0,16,0,0.076151,0,0.599383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14457,45.0705,87.1164,22.6957,0.781481,5625,2475,3167.063,13188.197,NA,124,43,20,398,436.45,87.29,3.2254596279969894,35.52054374048432
325,3,-78.94988195069874,36.00698415969887,325,Durham,2,405,836,32355,0,0,26,862,0,0,0,0,0,0,0,0,20,2,348,0,70,21.4286,0.571429,190.887,157.113,57.4,12.6,0,0,0,0,0.090104,100,0,0,0,0,0,16,0,0.029868,0,1.68328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01612,38.8962,82.4476,19.7451,0.781484,4856,7862,10060.348,25242.423,NA,235,43,17,440,359.48,61.11160000000001,4.838189441995484,11.592083781670127
331,0,-78.89401094380186,36.08694929780716,331,Durham,3,568,1501,80812,0,0,0,1501,0,0,0,0,0,0,0,0,0,33,23,0,8,5.86956,27.1304,8,15,8,0,0,0,0,0,1.18182,8.4235,7.8529,0,0,0,0,10,0,0.118081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67912,8.98572,21.2459,9.18348,0.781525,964,43,55.0207,1337.555,NA,13,51,16,64,765.51,122.4816,0,12.918830125771004
334,0,-78.89859828793907,36.10219852652888,334,Durham,3,554,1273,77343,0,0,0,1273,0,0,0,0,0,0,0,0,19,23,56,4,5,26.6377,15.3623,56,4,0,5,0,0,0,0,1.53516,10.2144,18.8992,0,0,0,0,10,0,0.109361,0,0.00457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405248,5.58539,14.4003,6.17746,0.781554,648,54,69.0931,959.803,NA,90,51,2,107,649.23,12.9846,0,4.51356226511352
346,0,-78.9759085203185,36.07442815900354,346,Durham,3,212,532,87959,0,0,0,532,0,0,0,0,0,0,0,0,0,13,3,5,0,7.04021,5.95979,2.70642,5.29358,0,0,0,0,0,0,0.172534,0,0,0,0,0,0,10,0,0.034332,0,1.53949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183858,5.08704,10.1706,2.96893,0.781524,825,74,94.6867,1234.724,NA,25,46,26,21,244.72,63.6272,0,7.49453893301966
363,5,-78.9139213675099,36.03042439847041,363,Durham,2,285,513,55824,0,0,0,513,0,0,0,0,0,0,0,0,11,11,80,4,352,14.0372,7.96284,62.9572,21.0428,299.694,52.306,0,0,0,0,0.130841,75.1668,24.8332,0,0,0,0,10,0,0.021511,0,0.923855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.890482,11.5365,22.728,8.93477,0.781489,2739,1513,1936.048,7166.779,NA,642,44,28,458,225.72,63.201600000000006,8.063649069992474,28.202900789081163
