Geo_FIPS,total,poverty,non-poverty
370250426011,924,21,903
370250426012,427,23,404
370250426013,573,36,537
370250426021,399,32,367
370250426022,988,59,929
370250426031,648,46,602
370250426032,868,30,838
370250426033,956,70,886
370250426034,664,32,632
370250426041,511,40,471
370250426042,233,0,233
370250426043,726,21,705
370270301001,417,19,398
370270301002,390,67,323
370270301003,250,0,250
370270301004,299,42,257
370270301005,509,105,404
370270301006,385,98,287
370270302001,524,52,472
370270302002,328,140,188
370270302003,563,185,378
370270302004,727,110,617
370270303001,242,68,174
370270303002,361,41,320
370270303003,472,99,373
370270303004,549,74,475
370270304001,349,77,272
370270304002,223,35,188
370270304003,521,124,397
370270304004,437,108,329
370270305001,919,25,894
370270305002,723,273,450
370270305003,383,58,325
370270306001,440,163,277
370270306002,747,86,661
370270306003,557,42,515
370270307001,542,64,478
370270307002,563,65,498
370270307003,489,28,461
370270307004,619,60,559
370270307005,490,151,339
370270308011,434,118,316
370270308012,874,110,764
370270308021,381,77,304
370270308022,633,95,538
370270308023,483,66,417
370270309001,373,87,286
370270309002,428,33,395
370270309003,475,93,382
370270309004,581,84,497
370270310001,499,68,431
370270310002,410,31,379
370270310003,408,30,378
370270311001,364,83,281
370270311002,555,31,524
370270311003,525,84,441
370270311004,314,15,299
370270312011,283,0,283
370270312012,394,17,377
370270312013,392,80,312
370270312014,620,57,563
370270312021,1079,102,977
370270312022,846,216,630
370270313011,647,15,632
370270313012,1215,25,1190
370270313021,850,12,838
370270313022,522,43,479
370270313023,301,75,226
370270314011,1219,77,1142
370270314012,367,11,356
370270314021,564,102,462
370270314022,585,14,571
370270314023,274,16,258
370270314031,588,213,375
370270314032,297,66,231
370299501011,1332,67,1265
370299501012,997,39,958
370299501020,0,0,0
370299501021,777,146,631
370299501022,553,18,535
370299501023,253,0,253
370319701011,344,28,316
370319701021,154,0,154
370319701022,382,8,374
370319701023,823,21,802
370319701031,260,18,242
370319701032,398,66,332
370319701033,455,108,347
370319702001,328,39,289
370319702002,210,6,204
370319703011,247,0,247
370319703012,410,83,327
