attraction_taz,attraction_district,observed_trips,emp,pop,raw_estimated_trips,estimated_trips
2005,20,0,29,580,90.10714739962812,126.7038224568333
2006,20,0,10,434,67.35595391444157,94.71231830629756
2007,20,0,1083,509,85.31809589119356,119.96971590066653
2008,20,0,16,347,53.90096404086588,75.79263549202327
2009,20,704.1235570088029,84,389,60.8148841163441,85.51461789857922
2010,20,0,779,743,119.80851340154935,168.46828524625664
2011,20,0,80,1087,169.02460051517585,237.67329887307474
2012,20,0,29,748,116.1575747264457,163.33453172014038
2013,20,0,24,515,79.99860469048039,112.48973358953377
2014,20,0,97,483,75.46744010351323,106.11825374672448
2015,20,0,98,476,74.3879072969121,104.6002727983621
2016,20,0,89,747,116.35661258000108,163.614408040575
2017,20,0,18,738,114.54203573338461,161.0628477121995
2018,20,0,48,2519,390.8846277716238,549.6409320187356
2019,20,0,27,76,11.944062088476135,16.795097458361216
2020,20,0,405,151,25.804546647245633,36.28496508130694
2021,20,0,105,351,55.04646052666776,77.4033710169009
2022,20,0,111,1093,170.13792454554311,239.23879522215972
2023,20,0,86,1225,190.45857581144514,267.812601679301
2024,20,0,146,647,101.18680076277582,142.2834348751631
2025,20,0,46,615,95.63464807032524,134.47629649270456
2026,20,464.8920207619667,40,888,137.93118248430613,193.951407419926
2027,20,0,102,1183,184.04039562533458,258.7877020318811
2028,20,0,80,1531,237.87215845033663,334.48303049752917
2029,20,0,404,1335,209.3921328089914,294.43595080891
2030,20,0,87,1041,161.9330570712326,227.70155204281147
2031,20,0,171,454,71.40736338416026,100.4091923164639
2032,20,0,118,241,38.066354759844096,53.526859902459
2033,20,0,190,1195,186.4204869851591,262.13445844121225
2034,20,0,184,210,33.648940582851154,47.31532976581279
2035,20,0,26,124,19.381139659360116,27.252715786459238
2036,20,0,318,1007,158.02423147466158,222.20517180333778
2037,20,0,17,269,41.8120244473359,58.79381908119184
2038,20,0,57,1508,234.16999259660022,329.2772440690987
2039,20,0,305,1273,199.1940197592444,280.0959129479934
2040,20,751.360269844532,225,1324,206.6300519697734,290.5520613466059
2041,20,0,120,1774,275.78830744775377,387.79867913868685
2042,20,0,29,491,76.30662339911166,107.29826814472419
2043,20,0,394,1343,210.5736126948675,296.0972842548846
2044,20,368.8246958553791,22,755,117.20169754094913,164.80272104285015
2045,20,0,5,128,19.87745295670433,27.95060484103968
2046,20,0,66,767,119.3221156253906,167.7843388640624
2047,20,0,13,162,25.196776571833382,35.430351502340976
2048,20,0,304,141,23.657857772719176,33.266406688577455
2049,20,0,82,1535,238.50421005072198,335.37178745044446
2050,19,0,297,2046,319.0097845532927,448.5743947122208
2051,19,0,11,109,16.96668366779289,23.857637680961094
2052,19,0,35,1380,214.19221132895242,301.1855629553767
2053,19,557.8592256903648,29,845,131.19859526633442,184.48440552097836
2054,19,0,215,19,4.215037331176376,5.926958704948417
2055,19,0,282,1535,239.684543120645,337.0315083055303
2056,19,0,23,643,99.84064765508703,140.39054680492086
2057,19,0,76,1663,258.31674468858057,363.2311076444545
2058,19,0,135,1705,265.1775497759122,372.8784026125315
2059,19,0,76,904,140.62463551563678,197.73879615129923
2060,19,0,7,67,10.430470174690033,14.666765948032612
2061,21,0,31,103,16.154344570255994,22.715370149923
2062,18,0,26,1018,158.00662793421083,222.18041865191472
2063,21,0,120,1576,245.08601809829022,344.6267717926465
2064,18,0,135,3859,599.1812430018948,842.5364249527901
2065,21,0,87,823,128.12952637333836,180.16884597494874
2066,21,0,45,1401,217.50753139830076,305.8473876560444
2067,18,0,41,914,141.96869790261562,199.62874436257036
2068,18,0,106,137,21.869079763809253,30.75112329767804
2069,21,750.3708313554525,135,279,44.059041632805815,61.95345374660361
2070,21,0,24,124,19.369336328660886,27.23611857790838
2071,21,0,43,147,23.04789552099884,32.408710589237145
2072,18,387.48762902617455,16,51,8.002592084092036,11.252814409053656
2073,21,0,89,291,45.648309835781916,64.18819718302723
2074,21,0,25,146,22.78660347728423,32.041295776188306
2075,21,201.59238642454147,56,217,33.97896189005116,47.77938797119567
2076,18,0,2,109,16.913568679646353,23.782950242482233
2077,21,0,3,19,2.963884277057977,4.167654598557444
2078,18,0,13,190,29.538514459636314,41.53546971289215
2079,18,0,95,69,11.259940860299228,15.833122996452602
2080,18,0,143,26,4.875551897954822,6.855738749755315
2081,18,0,54,920,142.97579195668982,201.04486583469765
2082,18,0,79,2310,358.6596073063614,504.3278421082312
2083,18,307.70652663707733,64,1067,165.82893252115136,233.17972248284562
2084,18,0,12,68,10.615040568859643,14.926298905500872
2085,18,184.41073796153069,101,205,32.38379202172544,45.536345930496616
2086,18,0,30,99,15.528194635220245,21.834911801283116
2087,18,0,590,1992,312.3656208599671,439.2317292160013
2088,18,0,3,124,19.24540135631897,27.06184788812437
2089,18,0,40,179,27.992176682439055,39.36109273132649
