orig_taz,dest_taz,purpose,attraction_district,attraction_taz,observed_trips,distance,estimated,category
57,3306,IX,8,57,5.307608604431152,19.9988,2.809170193,Non-freeway
57,3308,IX,8,57,27.27581262588501,10.4156,45.717922269999995,Freeway
57,3309,IX,8,57,124.37419912219048,9.30319,54.64472292,Non-freeway
57,3311,IX,8,57,66.0339629650116,8.61542,16.566292844,Non-freeway
57,3313,IX,8,57,176.3265535235405,13.0309,107.30356316999999,Freeway
57,3317,IX,8,57,32.90205419063568,11.8211,2.842998883,Non-freeway
58,3252,IX,8,58,3.637114554643631,54.2418,0.06789725185,Freeway
58,3273,IX,8,58,4.553485870361328,64.8699,0.0334495552,Freeway
58,3295,IX,8,58,1.2418630123138428,67.8959,0.015220694810000001,Non-freeway
58,3306,IX,8,58,3.459817886352539,22.8303,0.2668818075,Non-freeway
58,3308,IX,8,58,23.321916222572327,13.2471,4.449245918,Freeway
58,3309,IX,8,58,37.658242642879486,12.1347,4.853798682,Non-freeway
58,3311,IX,8,58,1.9650219082832336,10.3109,2.264140453,Non-freeway
58,3313,IX,8,58,69.10007780790329,12.8051,20.542227428,Freeway
58,3317,IX,8,58,2.2045565247535706,9.38264,0.788018882,Non-freeway
60,3289,IX,8,60,1.5525281429290771,70.6002,0.0136927713,Non-freeway
60,3295,IX,8,60,1.4973275661468506,67.9684,0.0080101717,Non-freeway
60,3308,IX,8,60,7.7096333503723145,11.8129,3.04944306,Freeway
60,3309,IX,8,60,35.13286256790161,10.7005,3.4742322359999998,Non-freeway
60,3311,IX,8,60,7.193728893995285,9.19392,1.4560383505,Non-freeway
60,3313,IX,8,60,42.75853991508484,11.6881,12.795086464,Freeway
60,3317,IX,8,60,1.3402373790740967,10.679,0.3484199167,Non-freeway
62,3235,IX,8,62,1.443785309791565,47.2873,0.019813491040000002,Non-freeway
62,3252,IX,8,62,2.2180927395820618,56.9415,0.06925437612,Freeway
62,3273,IX,8,62,3.2959424257278442,59.7975,0.044239455680000005,Freeway
62,3295,IX,8,62,1.4605400562286377,62.8235,0.02060319769,Non-freeway
62,3306,IX,8,62,6.799241542816162,20.9341,0.4010905434,Non-freeway
62,3308,IX,8,62,78.51661109924316,11.3509,6.486712422,Freeway
62,3309,IX,8,62,199.49404895305634,10.5357,5.818283323,Non-freeway
62,3311,IX,8,62,286.64820343255997,10.7839,1.3107842413,Non-freeway
62,3313,IX,8,62,261.4335537105799,19.0233,10.353752265,Freeway
62,3317,IX,8,62,31.958385348320007,16.5596,0.2790617004,Non-freeway
67,3252,IX,8,67,1.17351633310318,49.2642,0.4307456073,Freeway
67,3273,IX,8,67,1.7477741837501526,59.2505,0.19967292744,Freeway
67,3277,IX,8,67,1.3976879119873047,61.2379,0.19301949406,Freeway
67,3289,IX,8,67,1.277273416519165,64.9083,0.15813794552,Non-freeway
67,3295,IX,8,67,3.514183759689331,62.2765,0.09291278852,Non-freeway
67,3298,IX,8,67,3.4413455724716187,62.9916,0.2304929655,Freeway
67,3308,IX,8,67,29.07929491996765,15.9867,15.345573610999999,Freeway
67,3309,IX,8,67,62.71684771776199,14.4804,13.107238576,Non-freeway
67,3311,IX,8,67,30.840515613555908,15.4105,4.136562429,Non-freeway
67,3313,IX,8,67,138.99913543462753,17.9047,43.83187341,Freeway
67,3317,IX,8,67,17.129041999578476,15.441,1.162765905,Non-freeway
69,3252,IX,8,69,2.2758624255657196,57.0221,0.04364722206,Freeway
69,3273,IX,8,69,2.199865937232971,59.878,0.02788235746,Freeway
69,3306,IX,8,69,18.789786338806152,21.0146,0.25220333829999997,Non-freeway
69,3308,IX,8,69,41.08852958679199,11.4314,4.081631203,Freeway
69,3309,IX,8,69,242.11967512965202,10.6163,3.6512481190000003,Non-freeway
69,3311,IX,8,69,68.87074041366577,10.8644,0.8226999937,Non-freeway
69,3313,IX,8,69,61.048264265060425,19.1038,6.518973298,Freeway
69,3317,IX,8,69,5.711526840925217,16.6401,0.1752660759,Non-freeway
70,3252,IX,8,70,0.8721893429756165,58.1016,0.2823559498,Freeway
70,3295,IX,8,70,6.093447923660278,63.9836,0.08317334742,Non-freeway
70,3298,IX,8,70,2.53141188621521,64.6987,0.2083379663,Freeway
70,3306,IX,8,70,12.138900756835938,19.0469,2.240691579,Non-freeway
70,3308,IX,8,70,90.1460075378418,9.46366,35.99904553,Freeway
70,3309,IX,8,70,204.87540075182915,8.35127,46.073593200000005,Non-freeway
70,3311,IX,8,70,257.2503833770752,8.59946,10.320242274,Non-freeway
70,3313,IX,8,70,504.45177459716797,13.8482,53.42296169,Freeway
70,3317,IX,8,70,27.488194823265076,12.6384,1.352300357,Non-freeway
71,3252,IX,8,71,0.6889849305152893,58.6493,0.18627588810999998,Freeway
71,3273,IX,8,71,0.9625596404075623,61.5052,0.10867377097,Freeway
71,3295,IX,8,71,1.8537241220474243,64.5313,0.04979524213,Non-freeway
71,3306,IX,8,71,6.011895179748535,19.2092,1.437892887,Non-freeway
71,3308,IX,8,71,11.300893306732178,9.62598,23.148031177,Freeway
71,3309,IX,8,71,48.9323710501194,8.51359,29.26046935,Non-freeway
71,3311,IX,8,71,49.7446953356266,8.4199,7.358051149,Non-freeway
71,3313,IX,8,71,247.87375539541245,12.8354,46.78998806,Freeway
71,3317,IX,8,71,9.754756808280945,11.6255,1.254401606,Non-freeway
72,3273,IX,8,72,2.0679385662078857,67.4735,0.04749409388,Freeway
72,3308,IX,8,72,5.511472582817078,10.8575,11.16858331,Freeway
72,3309,IX,8,72,14.853874742984772,9.74514,13.492902458,Non-freeway
72,3311,IX,8,72,5.8062335550785065,7.83939,5.094966352,Non-freeway
72,3313,IX,8,72,22.8239768743515,11.7718,36.49810624,Freeway
72,3317,IX,8,72,0.4250919818878174,13.2175,0.5174964555,Non-freeway
73,3252,IX,8,73,0.6263189911842346,62.2014,0.14814705513,Freeway
73,3273,IX,8,73,2.1905341148376465,68.5067,0.10507384538,Freeway
73,3295,IX,8,73,3.165534019470215,71.5327,0.04716431102,Non-freeway
73,3308,IX,8,73,7.622823596000671,11.5686,24.31344923,Freeway
73,3309,IX,8,73,153.10822561383247,8.59255,47.18310947,Non-freeway
73,3311,IX,8,73,43.37577188014984,6.46103,16.508515027999998,Non-freeway
73,3313,IX,8,73,40.21441426873207,14.9419,58.85620809,Freeway
73,3317,IX,8,73,8.29833573102951,15.604,0.83323582,Non-freeway
77,3235,IX,8,77,0.7715688943862915,43.405,0.059516565800000004,Non-freeway
77,3252,IX,8,77,1.1637170314788818,53.4382,0.2765451933,Freeway
77,3277,IX,8,77,1.8580337762832642,58.2816,0.17052915813,Freeway
