TAZ,Type,HH,HH_POP,Median_Inc,Pct_Worker,Pct_Child,Pct_Senior,Stud_GQ,Other_NonInst_GQ,Inst_GQ,Total_POP,Industry,Office,Service_RateLow,Service_RateHigh,Retail,PctHighEarn,StudGQ_NCSU,StudGQ_UNC,StudGQ_DUKE,StudGQ_NCCU,StudOff_NCSU,StudOff_UNC,StudOff_DUKE,StudOff_NCCU,BuildingS_NCSU,BuildingS_UNC,BuildingS_DUKE,BuildingS_NCCU,K12,ParkCostW,ParkCostO,ParkCostU,ADT,PCTCV,PCTAUTOEE,PCTCVEE
514,Internal,298,456,62574,57,15.3,6.7,0,0,0,456,8,54,396,33,286,13,0,0,0,0,0,12,1,7,0,0,0,0,0,0,0,0,0,0,0,0
515,Internal,0,0,62574,57,15.3,6.7,0,0,0,0,15,8,161,44,177,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,Internal,84,113,62909,54,2.7,20.1,0,0,0,113,49,386,402,62,5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,Internal,658,1203,62574,57,15.3,6.7,0,0,0,1203,46,64,32,9,70,33,0,0,0,0,0,187,15,33,0,0,0,0,0,0,0,0,0,0,0,0
518,Internal,313,579,62574,57,15.3,6.7,0,0,0,579,33,54,457,39,143,35,0,0,0,0,0,75,7,4,0,0,0,0,0,0,0,0,0,0,0,0
519,Internal,0,0,62574,57,15.3,6.7,0,0,0,0,24,22,439,8,3034,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,Internal,132,298,62574,57,15.3,6.7,0,0,0,298,0,8,234,0,0,34,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,Internal,1282,2295,54110,56,25,11.2,0,0,0,2295,13,132,361,11,32,27,0,0,0,0,0,112,13,80,0,0,0,0,0,0,0,0,0,0,0,0
522,Internal,1018,2243,73065,56,17.2,17.4,0,6,0,2249,78,19,77,4,2,27,0,0,0,0,0,87,18,58,0,0,0,0,0,0,0,0,0,0,0,0
523,Internal,156,444,90284,57,37.7,11.7,0,0,0,444,6,11,11,0,0,16,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
524,Internal,0,0,90284,57,37.7,11.7,0,0,0,0,0,0,14,0,43,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,Internal,302,867,90284,57,37.7,11.7,0,8,0,875,32,84,24,0,8,50,0,0,0,0,0,31,1,25,0,0,0,0,0,0,0,0,0,0,0,0
526,Internal,63,100,90284,57,37.7,11.7,0,0,0,100,3,18,10,0,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,Internal,114,269,149261,58,22.1,9.2,0,0,0,269,0,0,0,0,0,41,0,0,0,0,0,44,1,7,0,0,0,0,0,0,0,0,0,0,0,0
528,Internal,1350,3733,149261,58,22.1,9.2,0,0,0,3733,0,88,86,0,0,55,0,0,0,0,0,143,13,62,0,0,0,0,0,0,0,0,0,0,0,0
529,Internal,901,2414,123160,58,28.5,8.6,0,13,11,2438,16,96,57,30,3,28,0,0,0,0,0,162,6,22,0,0,0,0,37,0,0,0,0,0,0,0
530,Internal,21,49,123160,58,28.5,8.6,0,0,0,49,1,8,1,0,0,41,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,Internal,251,483,62574,57,15.3,6.7,0,0,0,483,1,22,478,70,728,13,0,0,0,0,0,12,11,4,0,0,0,0,0,0,0,0,0,0,0,0
532,Internal,147,388,149261,58,22.1,9.2,0,0,0,388,0,30,33,0,0,41,0,0,0,0,0,50,0,4,0,0,0,0,0,0,0,0,0,0,0,0
533,Internal,884,2150,68750,54,19.5,14.9,0,0,0,2150,50,111,61,68,15,37,0,0,0,0,0,106,10,29,0,0,0,0,77,0,0,0,0,0,0,0
534,Internal,387,994,82303,54,15.8,17.1,0,0,0,994,8,106,152,3,39,34,0,0,0,0,0,25,0,4,0,0,0,0,535,0,0,0,0,0,0,0
535,Internal,0,0,55727,56,28.3,7.9,0,0,0,0,9,18,52,17,13,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,Internal,511,1353,83583,54,22.8,11.5,0,0,0,1353,30,86,6,0,3,37,0,0,0,0,0,44,1,25,0,0,0,0,0,0,0,0,0,0,0,0
537,Internal,959,1635,42163,56,8.9,9.8,0,0,0,1635,10,97,54,8,78,44,0,0,0,0,0,193,10,76,0,0,0,0,0,0,0,0,0,0,0,0
538,Internal,1,2,55727,56,28.3,7.9,0,0,0,2,59,242,223,47,268,41,0,0,0,0,0,44,0,0,0,0,0,0,673,0,0,0,0,0,0,0
539,Internal,1314,2875,55727,56,28.3,7.9,0,2,0,2877,5,61,118,0,0,80,0,0,0,0,0,168,46,51,0,0,0,0,0,0,0,0,0,0,0,0
540,Internal,467,884,55727,56,28.3,7.9,0,0,0,884,688,2085,1076,187,194,76,0,0,0,0,0,12,17,14,0,0,0,0,0,0,0,0,0,0,0,0
541,Internal,22,50,76667,56,6.9,17.9,0,0,0,50,293,79,354,83,105,55,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
542,Internal,26,61,76667,56,6.9,17.9,0,0,0,61,658,38,129,0,82,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,Internal,16,42,76667,56,6.9,17.9,0,0,0,42,59,141,26,20,18,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,Internal,111,293,76667,56,6.9,17.9,0,0,0,293,0,16,6,8,0,38,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
545,Internal,20,43,47888,54,21.9,3.9,0,0,0,43,14,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,Internal,444,1067,76667,56,6.9,17.9,0,0,0,1067,7,43,17,7,0,34,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0
547,Internal,17,47,76667,56,6.9,17.9,0,0,0,47,104,320,36,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
