Person_ID,On_campus,Graduate,Have_car,Have_parking_permit,Start_PlaceID,Start_PlaceType,End_PlaceID,End_PlaceType,TAZ_o,TAZ_d,Origin_PA,Destination_PA,TAZ_P,TAZ_A,Trip_Purpose,UHC,UHO,UCO,UC1,UOO,UCC,Campus_TAZ_A,Campus_TAZ_P,Purpose,Primary_Mode,Bicycle,Bus,Car,Carpool,Walk,Other,distance_miles,distance_zonetozone,Weight,Bicycle_W,Bus_W,Car_W,Carpool_W,Walk_W,Other_W
1029,0,0,Yes,Yes,1029002,North Carolina State University,1029003,North Carolina State University,1650,3040,P,A,1650,3040,UC1,0,0,0,1,0,0,NCSU_Centennial,NA,Attend Classes / Study / Research,Car,0,0,1,0,0,0,1.045438362540246,2.02381,174.3768,0,0,174.3768,0,0,0
1029,0,0,Yes,Yes,1029003,North Carolina State University,1029004,Home,3040,1650,A,P,1650,3040,UHC,1,0,0,0,0,0,NCSU_Centennial,NA,Go home,Car,0,0,1,0,0,0,1.0248289288204868,2.02381,174.3768,0,0,174.3768,0,0,0
1031,0,1,Yes,Yes,1031000,Home,1031001,Other,1646,1626,P,A,1646,1626,UHO,0,1,0,0,0,0,NA,NA,Other-- Gym,Car,0,0,1,0,0,0,2.227317526952895,2.717652,52.304878,0,0,52.304878,0,0,0
1031,0,1,Yes,Yes,1031001,Other,1031002,North Carolina State University,1626,3040,A,P,3040,1626,UCO,0,0,1,0,0,0,NA,NCSU_Centennial,Attend Classes / Study / Research,Other,0,0,0,0,0,1,3.22824450362226,4.560645,52.304878,0,0,0,0,0,52.304878
1031,0,1,Yes,Yes,1031002,North Carolina State University,1031003,Home,3040,1646,A,P,1646,3040,UHC,1,0,0,0,0,0,NCSU_Centennial,NA,Go home,Other,0,0,0,0,0,1,1.0101839083423736,2.234659,52.304878,0,0,0,0,0,52.304878
1032,0,1,Yes,Yes,1032000,Home,1032001,North Carolina State University,1621,3055,P,A,1621,3055,UHC,1,0,0,0,0,0,NCSU_Main,NA,Work,Car,0,0,1,0,0,0,3.9930135335417116,4.87656,52.304878,0,0,52.304878,0,0,0
1032,0,1,Yes,Yes,1032001,North Carolina State University,1032002,North Carolina State University,3055,3055,P,A,3055,3055,UC1,0,0,0,1,0,0,NCSU_Main,NCSU_Main,Dining / Shopping,Walk,0,0,0,0,1,0,0.22859066679048537,0.315679,52.304878,0,0,0,0,52.304878,0
1032,0,1,Yes,Yes,1032002,North Carolina State University,1032003,North Carolina State University,3055,3055,P,A,3055,3055,UC1,0,0,0,1,0,0,NCSU_Main,NCSU_Main,Dining / Shopping,Walk,0,0,0,0,1,0,0.025574121209533326,0.315679,52.304878,0,0,0,0,52.304878,0
1032,0,1,Yes,Yes,1032003,North Carolina State University,1032004,North Carolina State University,3055,3055,P,A,3055,3055,UC1,0,0,0,1,0,0,NCSU_Main,NCSU_Main,Work,Walk,0,0,0,0,1,0,0.24904796509029306,0.315679,52.304878,0,0,0,0,52.304878,0
1032,0,1,Yes,Yes,1032004,North Carolina State University,1032005,Other,3055,1653,P,A,3055,1653,UCO,0,0,1,0,0,0,NCSU_Main,NCSU_Main,Dining / Shopping,Car,0,0,1,0,0,0,1.2728455564865355,1.517356,52.304878,0,0,52.304878,0,0,0
1032,0,1,Yes,Yes,1032005,Other,1032006,Home,1653,1621,A,P,1621,1653,UHO,0,1,0,0,0,0,NCSU_Main,NA,Go home,Car,0,0,1,0,0,0,2.7219151431526405,3.485711,52.304878,0,0,52.304878,0,0,0
1033,1,0,No,No,1033000,Home,1033001,North Carolina State University,3058,3056,P,A,3058,3056,UHC,1,0,0,0,0,0,NCSU_Main,NCSU_Main,Attend Classes / Study / Research,Walk,0,0,0,0,1,0,0.781772094802669,1.018723,63.6818,0,0,0,0,63.6818,0
1033,1,0,No,No,1033001,North Carolina State University,1033002,North Carolina State University,3056,3055,P,A,3056,3055,UC1,0,0,0,1,0,0,NCSU_Main,NCSU_Main,Dining / Shopping,Walk,0,0,0,0,1,0,0.6160033226689242,0.464153,63.6818,0,0,0,0,63.6818,0
1033,1,0,No,No,1033002,North Carolina State University,1033003,Home,3055,3058,A,P,3058,3055,UHC,1,0,0,0,0,0,NCSU_Main,NCSU_Main,Go home,Walk,0,0,0,0,1,0,0.17735647061015772,0.512701,63.6818,0,0,0,0,63.6818,0
1033,1,0,No,No,1033003,Home,1033004,North Carolina State University,3058,3055,P,A,3058,3055,UHC,1,0,0,0,0,0,NCSU_Main,NCSU_Main,Dining / Shopping,Walk,0,0,0,0,1,0,0.41619887832132996,0.512701,63.6818,0,0,0,0,63.6818,0
1033,1,0,No,No,1033004,North Carolina State University,1033005,Home,3055,3058,A,P,3058,3055,UHC,1,0,0,0,0,0,NCSU_Main,NCSU_Main,Go home,Walk,0,0,0,0,1,0,0.4160990945753009,0.512701,63.6818,0,0,0,0,63.6818,0
1034,1,0,No,No,1034000,North Carolina State University,1034001,North Carolina State University,3056,3055,P,A,3056,3055,UC1,0,0,0,1,0,0,NCSU_Main,NCSU_Main,Attend Classes / Study / Research,Walk,0,0,0,0,1,0,0.2717309407663909,0.464153,63.6818,0,0,0,0,63.6818,0
1034,1,0,No,No,1034001,North Carolina State University,1034002,North Carolina State University,3055,3056,P,A,3055,3056,UC1,0,0,0,1,0,0,NCSU_Main,NCSU_Main,Attend Classes / Study / Research,Other,0,0,0,0,0,1,0.08653453443252473,0.464153,63.6818,0,0,0,0,0,63.6818
1034,1,0,No,No,1034002,North Carolina State University,1034003,North Carolina State University,3056,3055,P,A,3056,3055,UC1,0,0,0,1,0,0,NCSU_Main,NCSU_Main,Attend Classes / Study / Research,Walk,0,0,0,0,1,0,0.08632286796644935,0.464153,63.6818,0,0,0,0,63.6818,0
1034,1,0,No,No,1034003,North Carolina State University,1034004,North Carolina State University,3055,3056,P,A,3055,3056,UC1,0,0,0,1,0,0,NCSU_Main,NCSU_Main,Recreational / Social / Community Service / Personal,Walk,0,0,0,0,1,0,0.27441344239218524,0.464153,63.6818,0,0,0,0,63.6818,0
1034,1,0,No,No,1034004,North Carolina State University,1034005,North Carolina State University,3056,3056,P,A,3056,3056,UC1,0,0,0,1,0,0,NCSU_Main,NCSU_Main,Attend Classes / Study / Research,Walk,0,0,0,0,1,0,0.15563319284248342,0.289656,63.6818,0,0,0,0,63.6818,0
