TAZ,MPO,COUNTY,D_Minority,C_Race,C_Hispanic,ZeroCar,LowIncome,Senior,LEP,AllZones
179,DCHC,Durham,0,0,0,1,1,0,0,1
180,DCHC,Durham,0,0,0,1,1,0,0,1
181,DCHC,Durham,0,0,0,1,1,0,0,1
182,DCHC,Durham,0,0,0,1,1,0,0,1
183,DCHC,Durham,0,0,0,1,1,0,0,1
184,DCHC,Durham,0,0,0,1,1,0,0,1
185,DCHC,Durham,0,0,0,1,1,0,0,1
186,DCHC,Durham,0,0,0,0,0,0,0,1
187,DCHC,Durham,0,0,0,0,0,0,0,1
188,DCHC,Durham,0,0,0,0,0,0,0,1
189,DCHC,Durham,0,0,0,0,0,0,0,1
190,DCHC,Durham,0,0,0,0,0,0,0,1
191,DCHC,Durham,0,0,0,0,0,0,0,1
192,DCHC,Durham,0,0,0,0,0,0,0,1
193,DCHC,Durham,0,0,0,0,0,0,0,1
194,DCHC,Durham,0,0,0,1,0,0,0,1
195,DCHC,Durham,0,0,0,1,0,0,0,1
196,DCHC,Durham,0,0,0,1,0,0,0,1
197,DCHC,Durham,0,0,0,1,0,0,0,1
198,DCHC,Durham,0,0,0,1,0,0,0,1
199,DCHC,Durham,0,0,0,1,0,0,0,1
200,DCHC,Durham,0,0,0,1,0,0,0,1
201,DCHC,Durham,0,0,0,1,0,0,0,1
202,DCHC,Durham,0,0,0,1,0,0,0,1
203,DCHC,Durham,0,0,0,1,0,0,0,1
204,DCHC,Durham,0,0,0,1,0,0,0,1
205,DCHC,Durham,0,0,0,1,0,0,0,1
206,DCHC,Durham,0,0,0,0,0,0,0,1
207,DCHC,Durham,0,0,0,0,0,0,0,1
208,DCHC,Durham,0,0,0,0,0,0,0,1
209,DCHC,Durham,0,0,0,0,0,0,0,1
210,DCHC,Durham,0,0,0,0,0,0,0,1
211,DCHC,Durham,0,0,0,1,0,0,0,1
212,DCHC,Durham,0,0,0,0,0,0,0,1
213,DCHC,Durham,0,0,0,1,0,0,0,1
214,DCHC,Durham,0,0,0,0,0,0,0,1
215,DCHC,Durham,0,0,0,1,0,0,0,1
216,DCHC,Durham,0,0,0,1,0,0,0,1
217,DCHC,Durham,0,0,0,1,0,0,0,1
218,DCHC,Durham,0,0,0,1,0,0,0,1
219,DCHC,Durham,0,0,0,1,0,0,0,1
220,DCHC,Durham,0,0,0,1,0,0,0,1
221,DCHC,Durham,0,0,0,1,0,0,0,1
222,DCHC,Durham,1,0,0,1,1,0,1,1
223,DCHC,Durham,1,0,0,1,1,0,1,1
224,DCHC,Durham,1,0,0,1,1,0,1,1
225,DCHC,Durham,1,0,0,1,1,0,1,1
226,DCHC,Durham,1,0,0,1,1,0,1,1
227,DCHC,Durham,1,0,0,1,1,0,1,1
228,DCHC,Durham,1,0,0,1,1,0,1,1
229,DCHC,Durham,1,0,0,1,1,0,1,1
230,DCHC,Durham,1,0,0,1,1,0,1,1
231,DCHC,Durham,0,0,0,1,1,0,1,1
232,DCHC,Durham,0,0,0,1,1,0,1,1
233,DCHC,Durham,0,0,0,1,1,0,1,1
234,DCHC,Durham,0,0,0,1,1,0,1,1
235,DCHC,Durham,0,0,0,1,1,0,1,1
236,DCHC,Durham,0,0,0,1,1,0,1,1
237,DCHC,Durham,0,0,0,0,1,0,0,1
238,DCHC,Durham,0,0,0,0,1,0,0,1
239,DCHC,Durham,1,0,0,0,1,1,1,1
240,DCHC,Durham,1,0,0,0,1,1,1,1
241,DCHC,Durham,1,0,0,0,1,0,1,1
242,DCHC,Durham,1,0,0,0,1,0,1,1
243,DCHC,Durham,1,0,0,0,1,0,1,1
244,DCHC,Durham,1,0,0,0,1,0,1,1
245,DCHC,Durham,1,0,0,0,1,0,1,1
246,DCHC,Durham,1,0,0,0,1,0,1,1
247,DCHC,Durham,1,0,0,0,1,0,0,1
248,DCHC,Durham,1,0,0,0,1,0,0,1
249,DCHC,Durham,1,0,0,1,1,0,1,1
250,DCHC,Durham,1,0,0,0,1,0,0,1
251,DCHC,Durham,1,0,0,1,1,0,1,1
252,DCHC,Durham,1,0,0,0,1,0,1,1
253,DCHC,Durham,1,0,0,0,1,0,1,1
254,DCHC,Durham,1,0,0,0,1,0,1,1
255,DCHC,Durham,1,0,0,1,1,1,1,1
256,DCHC,Durham,1,0,0,1,1,1,1,1
257,DCHC,Durham,1,0,0,1,1,1,1,1
258,DCHC,Durham,1,0,0,1,1,0,1,1
259,DCHC,Durham,1,0,0,1,1,0,1,1
260,DCHC,Durham,1,0,0,1,1,0,1,1
261,DCHC,Durham,1,0,0,1,1,0,1,1
262,DCHC,Durham,1,0,0,1,1,0,1,1
263,DCHC,Durham,1,0,0,1,1,0,1,1
264,DCHC,Durham,1,0,0,1,1,0,1,1
265,DCHC,Durham,0,0,0,0,0,0,0,1
266,DCHC,Durham,0,0,0,1,1,0,1,1
267,DCHC,Durham,0,0,0,1,1,0,1,1
268,DCHC,Durham,0,0,0,1,1,0,1,1
269,DCHC,Durham,1,0,0,1,1,0,1,1
270,DCHC,Durham,1,0,0,1,1,0,1,1
271,DCHC,Durham,1,0,0,1,1,0,1,1
272,DCHC,Durham,1,0,0,1,1,0,1,1
273,DCHC,Durham,1,0,0,1,1,0,1,1
274,DCHC,Durham,1,0,0,1,1,0,1,1
275,DCHC,Durham,1,0,0,1,1,0,1,1
276,DCHC,Durham,1,0,0,1,1,0,1,1
277,DCHC,Durham,1,0,0,1,1,0,1,1
278,DCHC,Durham,1,0,0,1,1,0,1,1
279,DCHC,Durham,1,0,0,1,1,0,1,1
280,DCHC,Durham,1,0,0,1,1,0,0,1
281,DCHC,Durham,1,0,0,1,1,0,0,1
282,DCHC,Durham,1,0,0,1,1,0,0,1
283,DCHC,Durham,1,0,0,1,1,0,0,1
284,DCHC,Durham,0,0,0,1,1,0,0,1
285,DCHC,Durham,1,0,0,1,1,0,0,1
286,DCHC,Durham,1,0,0,1,1,0,0,1
287,DCHC,Durham,1,0,0,1,1,0,0,1
288,DCHC,Durham,1,0,0,1,1,0,0,1
289,DCHC,Durham,1,0,0,1,1,0,0,1
290,DCHC,Durham,1,0,0,1,1,0,0,1
291,DCHC,Durham,1,0,0,1,1,0,0,1
292,DCHC,Durham,1,0,0,1,1,0,0,1
293,DCHC,Durham,1,0,0,1,1,0,1,1
294,DCHC,Durham,1,0,0,1,1,0,0,1
295,DCHC,Durham,1,0,0,1,1,0,0,1
296,DCHC,Durham,1,0,0,1,1,0,0,1
297,DCHC,Durham,1,0,0,1,1,0,0,1
298,DCHC,Durham,1,0,0,1,1,0,0,1
299,DCHC,Durham,1,0,0,1,1,0,0,1
300,DCHC,Durham,1,0,0,1,1,0,0,1
301,DCHC,Durham,1,0,0,1,1,0,0,1
302,DCHC,Durham,1,0,0,1,1,0,0,1
303,DCHC,Durham,1,0,0,1,1,0,0,1
304,DCHC,Durham,1,0,0,1,1,0,1,1
305,DCHC,Durham,0,0,0,0,0,1,0,1
306,DCHC,Durham,1,0,0,1,1,0,1,1
307,DCHC,Durham,1,0,0,1,1,0,1,1
308,DCHC,Durham,1,0,0,1,1,0,1,1
309,DCHC,Durham,1,0,0,1,1,0,1,1
310,DCHC,Durham,1,0,0,1,1,0,1,1
311,DCHC,Durham,0,0,0,1,1,0,0,1
312,DCHC,Durham,1,0,0,1,1,0,1,1
313,DCHC,Durham,0,0,0,0,0,1,0,1
314,DCHC,Durham,0,0,0,0,0,0,0,1
315,DCHC,Durham,0,0,0,0,1,0,0,1
316,DCHC,Durham,0,0,0,1,1,0,0,1
317,DCHC,Durham,1,0,0,1,1,0,1,1
318,DCHC,Durham,1,0,0,1,1,0,1,1
319,DCHC,Durham,1,0,0,1,1,0,1,1
320,DCHC,Durham,1,0,0,1,1,0,1,1
321,DCHC,Durham,0,0,0,1,1,0,0,1
322,DCHC,Durham,1,0,0,1,1,0,1,1
323,DCHC,Durham,1,0,0,1,1,0,1,1
324,DCHC,Durham,1,0,0,0,1,0,1,1
325,DCHC,Durham,1,0,0,0,1,0,1,1
326,DCHC,Durham,0,0,0,0,0,0,0,1
327,DCHC,Durham,0,0,0,0,0,1,0,1
328,DCHC,Durham,0,0,0,0,0,1,0,1
329,DCHC,Durham,0,0,0,0,0,1,0,1
330,DCHC,Durham,0,0,0,0,0,1,0,1
331,DCHC,Durham,0,0,0,0,0,1,0,1
332,DCHC,Durham,1,0,0,0,0,0,0,1
333,DCHC,Durham,1,0,0,0,0,0,0,1
334,DCHC,Durham,0,0,0,0,0,1,0,1
335,DCHC,Durham,0,0,0,1,0,0,0,1
336,DCHC,Durham,0,0,0,0,0,0,0,1
337,DCHC,Durham,0,0,0,0,0,0,0,1
338,DCHC,Durham,0,0,0,0,0,0,0,1
339,DCHC,Durham,0,0,0,0,0,0,0,1
340,DCHC,Durham,0,0,0,0,0,0,0,1
341,DCHC,Durham,0,0,0,0,0,0,0,1
342,DCHC,Durham,0,0,0,0,0,1,0,1
343,DCHC,Durham,0,0,0,0,1,1,1,1
344,DCHC,Durham,0,0,0,0,0,1,0,1
345,DCHC,Durham,0,0,0,0,0,1,0,1
346,DCHC,Durham,0,0,0,0,0,1,0,1
347,DCHC,Durham,0,0,0,0,0,1,0,1
348,DCHC,Durham,0,0,0,1,0,1,0,1
349,DCHC,Durham,0,0,0,0,0,1,0,1
350,DCHC,Durham,0,0,0,0,0,1,0,1
351,DCHC,Durham,0,0,0,0,0,0,0,1
352,DCHC,Durham,0,0,0,0,0,1,0,1
353,DCHC,Durham,0,0,0,0,0,0,1,1
354,DCHC,Durham,0,0,0,0,0,1,0,1
355,DCHC,Durham,0,0,0,0,0,1,0,1
356,DCHC,Durham,0,0,0,0,0,1,0,1
357,DCHC,Durham,0,0,0,0,0,0,1,1
358,DCHC,Durham,0,0,0,0,0,1,0,1
359,DCHC,Durham,0,0,0,0,0,1,0,1
360,DCHC,Durham,0,0,0,0,1,0,0,1
361,DCHC,Durham,0,0,0,0,1,0,0,1
362,DCHC,Durham,0,0,0,0,0,1,0,1
