route,access,mode,tod,On,Off,DriveAccessOn,WalkAccessOn,DirectTransferOn,WalkTransferOn,DirectTransferOff,WalkTransferOff,EgressOff,rts_name
117,All,All,Daily,219.531,219.531,7.23286,117.244,84.0756,10.978,50.9715,0,168.559,CTRAN 3-5 SB:Harrison-Kildaire
118,All,All,Daily,156.482,156.482,78.0194,47.2294,31.2332,0,128.021,0,28.4611,TT 201 WB:Millbrook-RTP
119,All,All,Daily,149.587,149.587,10.9155,25.0534,113.618,0,106.433,2.72745,40.4269,TT 311 NB:ApexTownHall-RTP
120,All,All,Daily,216.819,216.819,12.9318,33.5341,164.347,6.00572,43.2541,65.9427,107.622,TT 311 SB:RTP-ApexTownHall
121,All,All,Daily,116.55,116.55,0,18.3308,98.2194,0,54.8992,0,61.651,TT 46 SH:Trans Ctr-E RTP
122,All,All,Daily,475.057,475.057,102.424,93.5698,269.221,9.84182,127.999,33.9071,313.151,TT 800 WB:RTC-Southpoint-CH
123,All,All,Daily,127.357,127.357,10.5543,42.2374,74.5655,0,37.5274,0,89.8297,TT 47 SH:Trans Ctr-RTI
124,All,All,Daily,479.946,479.946,15.5419,225.624,238.78,0,159.446,50.9812,269.518,TT 805 WB:RTC-Woodcroft-CH
125,All,All,Daily,581.836,581.836,28.3775,218.715,314.389,20.3552,347.01,3.69864,231.127,TT 805 EB:CH-Woodcroft-RTC
126,All,All,Daily,310.247,310.247,0.777569,11.8077,260.624,37.0371,154.439,0,155.807,TT 800md EB
127,All,All,Daily,214.904,214.904,60.3561,59.3634,85.8477,9.3371,20.8469,11.9439,182.114,TT 800md WB
128,All,All,Daily,412.894,412.893,49.3837,60.3834,298.154,4.97205,257.317,2.90174,152.674,TT 800 EB
129,All,All,Daily,132.21,132.21,0,43.8338,88.3765,0,21.3976,0,110.813,TT 49 SH: RTP
130,All,All,Daily,10.6579,10.6579,0,2.42449,8.23344,0,2.42449,0,8.23344,TT 42 SH:Trans Ctr-IBM
131,All,All,Daily,168.003,168.003,45.2008,7.11617,115.686,0,98.5069,0,69.4964,TT 105 WB:Moore Sq-RTP
132,All,All,Daily,248.633,248.633,11.116,0,237.517,0,163.203,0,85.4297,TT 105 EB:RTP-Moore Sq
133,All,All,Daily,1455.66,1455.66,86.45,149.14,1159.39,60.6769,1007.72,0,447.936,TT 100 WB:Moore Sq-RTC
134,All,All,Daily,1497.78,1497.78,7.65371,285.063,1185.03,20.0334,1198.6,7.11617,292.058,TT 100 EB:RTC-Moore Sq
135,All,All,Daily,219.16,219.16,1.76938,131.382,83.4895,2.51938,43.1228,4.13774,171.9,CTRAN 1 Maynard Loop One CLK
136,All,All,Daily,183.346,183.346,0.951292,94.1125,88.2823,0,41.7329,0,141.613,CTRAN 2 Maynard Loop Two CTR
137,All,All,Daily,531.754,531.754,6.26328,208.981,287.099,29.4102,164.796,0,366.958,CTRAN 6-4 WB:BuckJones-HighHouse
138,All,All,Daily,397.208,397.209,1.29374,246.185,83.78,65.9496,213.145,13.2686,170.795,CTRAN 4-6 EB:HighHouse-BuckJones
139,All,All,Daily,1994.35,1994.36,40.0683,800.913,1106.75,46.621,819.857,1.36372,1173.13,CAT 22-4:Hadley to Towne North
140,All,All,Daily,2149,2149,305.122,922.611,869.785,51.483,1205.8,2.33632,940.86,CAT 4-22:Towne North to Hadley
141,All,All,Daily,259.052,259.051,15.1049,35.3234,208.624,0,215.851,6.32707,36.8738,CAT 11L IB:Shaub&Sandlin-CAT esMO
142,All,All,Daily,5671.13,5671.13,50.5435,4671.17,901.608,47.8049,1596.92,296.306,3777.91,NCSU 1:AventF&Gorman-DHLibrar
143,All,All,Daily,1946.31,1946.31,13.5916,828.139,1074.41,30.1687,918.849,14.4519,1013.01,CAT 5-11:Sanderford-Trailwd Hills
144,All,All,Daily,616.27,616.269,0,83.8965,495.7,36.6733,40.0926,0,576.177,CAT 18 OB:Dwntwn-WalnutCreekSC
145,All,All,Daily,673.146,673.146,0,155.345,514.638,3.16354,411.943,27.0402,234.164,CAT 11L OB:MorrillCAT es-Shaub&SA
146,All,All,Daily,568.609,568.609,18.0287,308.573,240.405,1.6022,176.338,23.1709,369.1,CAT 13-21:Holmes-LakeWheeler
147,All,All,Daily,36.7866,36.7866,0,25.4697,4.24495,7.07198,8.83872,10.9681,16.9798,CAT KRX IB:Knightdale-Raleigh
148,All,All,Daily,509.999,509.999,7.02475,167.491,325.525,9.95857,194.689,3.62158,311.688,CAT 2 OB:Extra Headway
149,All,All,Daily,1675.61,1675.6,55.1377,779.402,813.263,27.8022,748.804,15.3968,911.404,CAT 8-2:SixFrksSta-FallsOfNeuse
