model_route,reported,model_boardings,diff,pct_diff
CAT 7-19:ShopsatGarner-WCSS,653.92,843.38,189.46000000000004,28.97
CAT 7L EB:RaleighOSC-SouthgateSC,309.235,500.965,191.72999999999996,62
CAT 7L WB:SouthgateSC-RaleighOSC,309.235,561.165,251.92999999999995,81.47
CAT 8-2:SixFrksSta-FallsOfNeuse,507.125,1675.61,1168.485,230.41
CAT JCX IB:Johnston Co.-Raleigh,51.80500000000001,5.84866,-45.956340000000004,-88.71
CAT JCX OB:Raleigh-Johnston Co.,51.80500000000001,8.92593,-42.879070000000006,-82.77
CAT KRX IB:Knightdale-Raleigh,32.84,36.7866,3.9465999999999966,12.02
CAT KRX OB:Raleigh-Knightdale,32.84,17.9841,-14.855900000000002,-45.24
CAT R-LINE,1162.69,1381.84,219.14999999999986,18.85
CAT WRX IB:Wake Forest-Raleigh,62.24,78.2084,15.968399999999995,25.66
CAT WRX OB:Raleigh-WF,62.24,76.6067,14.366700000000002,23.08
CAT ZWX IB:Zebulon-Raleigh,58.21000000000001,72.5929,14.382899999999992,24.71
CHT A NB:Weiner-SHS,423.15333333333336,482.348,59.19466666666665,13.99
CHT A SB:SHS-Weiner,423.15333333333336,759.834,336.6806666666666,79.56
CHT A-Limited,423.15333333333336,343.485,-79.66833333333335,-18.83
CHT CCX IB:Chatham-ChapelHill,235.125,49.01,-186.115,-79.16
CHT CCX OB:ChapelHill-Chatham,235.125,100.817,-134.308,-57.12
CHT CL IB: WaldenGrnflds-UNCHosp,64.45,25.3442,-39.1058,-60.68
CHT CL OB: UNCHosp-WaldenGrnflds,64.45,219.917,155.46699999999998,241.22
CHT CM IB:FamPrac-JonesFerry,288.15000000000003,390.818,102.66799999999995,35.63
CHT CM OB:JonesFerry-FamPrac,288.15000000000003,369.151,81.00099999999998,28.11
CHT CPX EB,247.155,88.3518,-158.8032,-64.25
CHT CPX WB,247.155,71.667,-175.488,-71
CHT CW IB:Pittsboro-JonesFerry,424.98999999999995,448.466,23.476000000000056,5.52
CHT CW OB:JonesFerry-Pittsboro,424.98999999999995,144.624,-280.366,-65.97
CHT D IB:Providence-SmithLevel,838.51,717.889,-120.62099999999998,-14.39
CHT D OB:SmithLevel-Providence,838.51,790.202,-48.30799999999999,-5.76
CHT DX IB:Providence-UNC,42.455,128.539,86.08399999999999,202.77
CHT DX OB:UNC-ProvRdEastowne,42.455,41.6606,-0.794399999999996,-1.87
CHT F IB:ColonyWoods-McDougle,416.485,580.554,164.06899999999996,39.39
CHT F OB:McDougle-ColonyWoods,416.485,605.793,189.308,45.45
CHT FCX IB:Pittsboro-FridayCntr,868.1949999999999,87.0099,-781.1850999999999,-89.98
CHT FCX OB:FridayCntr-Pittsboro,868.1949999999999,987.384,119.18900000000008,13.73
