"TAZ","access_nearby_sov","access_transit","access_walk","N_sov","N_hov2","N_hov3","N_walkbike","N_t","N_auto_pay","W_sov","W_hov2","W_hov3","W_walkbike","W_t","W_auto_pay"
1781,7.89559,0.00,0.309386,16.954,16.4705,9.79509,12.3278,0.00,0.668547,19.1732,6.59595,5.56494,5.21739,0.00,0.0967875
1782,7.71604,0.00,1.13936,54.7317,42.2427,26.2151,94.9629,0.00,1.29496,28.1847,14.7671,7.55806,34.192,0.00,0.15349
1783,7.35698,0.00,0.00,71.021,42.4392,26.7476,0.00,0.00,0.775872,36.2656,11.2057,9.41169,7.5379,0.00,0.188066
1784,7.84747,0.00,1.31428,87.9831,69.2636,43.1376,151.732,0.00,1.54802,37.4106,19.1815,10.291,42.4727,0.00,0.21043
1785,7.60371,0.00,0.00,124.767,154.234,94.3096,0.00,0.00,1.49651,63.2546,26.2803,16.7371,44.538,0.00,0.309922
1786,7.95564,0.00,0.00,111.004,61.1738,41.0431,0.00,0.00,1.24056,45.2671,20.3549,18.3059,17.8139,0.00,0.174957
1787,8.14795,0.00,0.00,204.348,110.541,73.7344,0.00,0.00,1.50571,106.923,39.0192,34.6957,27.4472,0.00,0.486983
1788,7.80179,0.00,0.00,26.1771,18.7246,11.8291,0.00,0.00,0.576048,13.9537,4.72402,3.89176,3.97051,0.00,0.0697648
1789,8.07706,0.00,0.00,145.664,84.7197,55.9889,0.00,0.00,1.98282,84.5449,28.6049,24.8812,19.5195,0.00,0.395405
1790,7.94719,0.00,0.00,78.6326,80.4691,50.5839,0.00,0.00,0.700409,31.6018,10.9194,8.91265,9.72047,0.00,0.151991
1791,7.77574,0.00,0.00,81.4137,44.3479,29.5252,0.00,0.00,0.778063,34.5391,11.9783,9.85797,10.4003,0.00,0.166121
1792,7.78625,0.00,0.00,35.8507,66.9729,40.2959,0.00,0.00,0.462111,13.2693,3.88899,3.06239,3.03777,0.00,0.0682507
1793,7.98798,0.00,0.00,173.849,104.371,67.6203,0.00,0.00,1.53354,70.9507,28.1693,18.4635,44.65,0.00,0.372706
1794,8.25732,0.00,0.783902,58.665,61.3287,81.5189,44.3084,0.00,1.82889,220.187,54.7913,26.0323,11.6473,0.00,0.196029
1795,8.04875,0.00,0.00,11.1598,11.2322,6.64847,0.00,0.00,0.423298,11.2814,3.79424,3.20953,2.87345,0.00,0.0566729
1796,7.86986,0.00,0.257453,27.5747,21.1795,13.146,29.0671,0.00,0.627993,14.3436,4.76071,3.86691,4.07602,0.00,0.0749457
1797,8.59432,2.31004,0.46401,68.1709,62.936,34.9751,38.0271,20.7072,1.36752,139.161,39.2337,34.1431,17.4886,10.0198,0.866458
1798,8.53241,1.7211,0.00,91.9568,84.9715,54.8527,0.00,3.28732,1.68395,46.3333,19.9611,14.432,28.6169,9.17108,0.250353
1799,8.25142,0.708336,0.360222,45.4212,45.5925,28.3695,63.4464,2.24053,1.05537,28.5462,13.9348,8.17307,27.9454,9.42793,0.155243
1800,8.08561,0.00,0.00,34.3593,22.9258,14.3547,0.00,0.00,0.306577,25.9692,7.40894,6.4263,3.49728,0.00,0.153245
1801,8.57677,1.5238,0.690918,29.8705,33.3358,20.3509,44.7398,2.02038,0.832925,21.4883,10.7955,6.38408,21.7216,7.48456,0.118968
1802,7.76103,0.00,0.00,10.3092,8.43565,5.14243,0.00,0.00,0.326152,4.95091,1.4938,1.27684,0.882732,0.00,0.0253894
1803,7.22032,0.00,0.00,23.9839,42.9858,24.821,0.00,0.00,0.321697,9.1094,2.88588,2.5354,1.6548,0.00,0.0422839
1804,7.5273,0.00,0.00,72.2408,131.088,77.0298,0.00,0.00,1.58925,71.3731,23.4857,20.5452,14.8685,0.00,0.332288
1805,7.37987,0.00,0.00,80.9671,119.191,71.4314,0.00,0.00,0.847113,31.1862,10.0546,8.4601,7.24605,0.00,0.150964
1806,7.54149,0.00,0.00,113.531,120.429,74.0019,0.00,0.00,1.25089,71.486,21.8224,18.5126,13.7141,0.00,0.352728
1807,7.80227,0.656973,0.00,95.2072,53.0528,33.4318,0.00,1.07902,1.14445,77.4628,24.1675,18.7091,21.9698,5.68235,0.397486
1808,8.70312,2.18091,0.0741136,299.27,202.131,115.052,213.614,4.03732,4.00572,561.486,162.787,136.754,95.434,22.2457,2.99031
1809,7.67766,0.00,0.00,41.7104,26.4181,16.979,0.00,0.00,0.730336,17.1303,7.0811,4.39904,12.3414,0.00,0.0866686
1810,8.33338,0.844193,0.318565,167.921,105.114,65.1277,121.535,1.12455,2.07142,159.438,44.5019,38.5223,19.8989,2.96051,0.861247
