"TAZ","access_nearby_sov","access_transit","access_walk","N_sov","N_hov2","N_hov3","N_walkbike","N_t","N_auto_pay","W_sov","W_hov2","W_hov3","W_walkbike","W_t","W_auto_pay"
2508,8.38512,0.00,0.00,66.5563,87.1883,53.1824,0.00,0.00,0.510677,29.2152,8.74661,7.59218,4.68385,0.00,0.162823
2509,8.06322,0.00,0.00,309.455,201.697,131.9,0.00,0.00,0.791195,151.23,44.5577,38.7589,22.6374,0.00,0.688791
2510,8.3344,0.0453091,0.155691,109.778,116.517,72.2576,60.8874,1.5596,1.15176,63.4601,19.6437,16.3477,13.7762,3.02399,0.344204
2511,8.26065,0.00,0.00,140.277,189.043,112.568,0.00,0.00,0.969046,68.5679,23.4118,19.1571,20.3157,0.00,0.343836
2512,8.24694,0.00,0.00,125.911,175.298,102.976,0.00,0.00,0.622553,54.0134,18.5947,14.263,19.5404,0.00,0.279947
2513,8.7051,0.870164,0.465023,15.274,17.6013,10.28,10.8603,0.418287,0.240446,9.03331,3.59493,2.41912,5.49129,1.81685,0.0491844
2514,8.97476,1.75765,1.49149,55.2565,69.8329,70.627,36.1306,1.7227,1.05156,200.034,50.4739,24.5321,12.3246,3.60278,0.18164
2515,8.87701,1.79972,0.450391,48.5188,40.9437,25.2595,33.0908,1.10468,0.47808,36.7204,12.0488,9.11227,12.4237,4.56748,0.205959
2516,9.60773,2.42307,1.81708,168.194,136.787,71.2834,89.7014,9.17561,1.6356,275.515,81.7556,69.5218,47.7436,18.6432,1.58309
2517,8.89885,1.95822,0.915214,63.277,63.3184,56.4432,27.3738,1.36255,1.10511,200.665,49.4162,27.1306,7.7534,2.61895,0.334139
2518,8.89721,1.74643,0.977924,124.952,103.775,59.2159,74.334,2.96492,1.42881,152.649,44.1026,37.2986,24.8337,8.43628,0.896453
2519,8.85424,2.01375,0.946078,52.9733,48.3709,29.9606,25.3185,0.981427,0.950118,35.3863,10.702,9.23474,6.06455,1.84169,0.199361
2520,8.43933,0.0438199,0.00,106.317,150.487,88.8848,0.00,2.36777,0.637426,38.6684,12.4927,10.3878,9.45074,1.8724,0.203362
2521,8.30512,0.0312765,0.00,76.3286,101.534,61.25,0.00,1.55156,0.628822,39.4966,12.7193,10.818,8.75179,1.55829,0.213011
2522,8.5243,0.819124,0.448102,78.1016,99.4386,60.7196,33.325,1.513,1.1243,48.5368,15.5998,13.7443,9.09245,1.58545,0.262881
2523,9.2287,2.1132,1.1339,92.0198,90.3676,45.4248,38.4627,5.47854,1.50767,128.414,37.7107,32.9756,18.4038,6.5733,0.757297
2524,8.56723,0.764061,0.301587,129.189,160.991,105.192,72.6422,2.86815,1.07324,198.322,54.48,36.169,21.1905,4.64366,0.566049
2525,7.51037,0.00,0.00,96.3125,75.7776,47.8083,0.00,0.00,0.279933,42.8977,13.3341,11.4051,8.36512,0.00,0.187412
2526,7.50569,0.00,0.00,80.6949,81.9944,50.0368,0.00,0.00,0.391406,44.8299,14.5772,12.4335,10.0875,0.00,0.191858
2527,7.94374,0.00,0.00,199.455,172.907,108.369,0.00,0.00,1.16978,96.3959,32.7183,27.5262,25.6424,0.00,0.419803
2528,6.75845,0.00,0.00,23.3596,34.105,19.4895,0.00,0.00,0.423613,45.8974,16.0252,13.7495,12.1727,0.00,0.185581
2529,6.75208,0.00,0.00,15.9327,19.4716,11.2591,0.00,0.00,0.178552,15.2629,5.38761,4.76264,3.68659,0.00,0.0597249
2530,6.62952,0.00,0.00,39.0056,39.8154,23.1727,0.00,0.00,0.289443,35.5195,11.3415,9.73646,7.37029,0.00,0.146355
2531,6.80275,0.00,0.00,41.3089,26.5677,16.6076,0.00,0.00,0.110856,27.4497,8.20407,6.9683,4.89818,0.00,0.118115
2532,6.5218,0.00,0.00,55.9493,57.5426,34.5364,0.00,0.00,0.601762,61.5075,22.8828,18.6115,22.4434,0.00,0.250576
2533,7.01602,0.00,0.00,84.6484,86.4137,52.6561,0.00,0.00,0.814401,66.1989,25.1353,20.1792,26.0812,0.00,0.271353
2534,6.56435,0.00,0.00,28.7331,34.9101,20.6863,0.00,0.00,0.395015,24.6363,8.80336,7.03846,8.65907,0.00,0.102982
2535,7.17157,0.00,0.00,103.557,80.5875,51.7327,0.00,0.00,0.634168,62.0756,19.4083,16.6862,12.0513,0.00,0.274812
2536,7.21528,0.00,0.00,93.1252,83.2498,52.1094,0.00,0.00,1.32562,78.5085,23.1753,19.8585,12.8453,0.00,0.371304
2537,7.28269,0.00,0.00,111.406,100.18,62.8502,0.00,0.00,0.950988,83.565,33.7141,23.0989,50.5427,0.00,0.365352
2538,7.00931,0.00,0.00,93.8091,75.7666,47.2865,0.00,0.00,0.586371,57.9836,18.9221,16.3392,12.5142,0.00,0.245576
2539,7.69091,0.00,0.00,65.0786,62.7299,39.601,0.00,0.00,0.747685,45.509,13.99,12.0793,8.20157,0.00,0.221256
2540,7.33626,0.00,0.00,67.8169,49.5247,31.7379,0.00,0.00,0.317233,32.1531,10.6175,8.89027,8.11633,0.00,0.139656
2541,7.24175,0.00,0.00,16.7545,23.8549,13.9839,0.00,0.00,0.376909,25.0631,9.72798,7.86606,10.1423,0.00,0.102008
2542,9.45268,3.8871,2.21365,109.688,108.213,62.7543,46.8446,15.6947,2.57178,209.549,70.5721,62.0147,45.6925,24.2925,1.22537
2543,9.61604,3.72521,2.20627,197.121,154.473,86.3048,198.705,33.2614,2.27363,331.809,100.82,83.1151,70.9133,46.0046,2.06655
2544,9.28596,3.57097,1.49958,214.471,157.887,106.112,128.809,7.1385,2.71005,240.062,68.8643,47.4488,32.9393,16.1338,0.801118
2545,9.28696,3.60259,1.82049,174.519,132.291,101.612,132.831,6.05164,2.1998,202.209,56.0937,33.6251,25.5069,11.641,0.47794
2546,9.27067,2.83634,1.66677,163.899,149.816,148.643,93.6604,4.86231,2.82441,272.496,71.6824,40.764,22.3867,9.40446,0.512689
2547,8.79259,1.53345,1.20061,35.3739,28.7727,18.1588,23.9232,0.713955,0.424759,11.8022,4.20034,3.25328,4.46363,1.45876,0.0686157
2548,8.86654,0.458153,1.17116,19.5696,18.4756,11.2605,18.7584,0.580426,0.373416,9.34381,4.0564,2.8462,6.13047,1.83966,0.0504387
2549,8.80569,1.1746,0.97295,40.2952,29.7113,19.0641,26.5658,0.553828,0.425459,16.2595,5.27664,4.29687,4.33472,1.29837,0.0951689
2550,9.80511,3.71263,2.03542,90.1693,93.8444,87.0783,65.2404,4.68646,1.55646,190.829,51.8179,25.8004,24.943,10.2679,0.237962
2551,9.33777,3.24212,1.62481,136.012,106.166,66.8119,71.2902,4.68076,2.01774,94.3109,31.0738,26.6745,21.4291,9.53986,0.555161
2552,9.04641,1.27697,0.889642,63.4066,49.73,30.6292,42.9614,1.09603,0.635173,34.1592,10.89,8.79374,8.91328,2.75849,0.198702
2553,9.26985,2.34586,1.26306,153.703,130.707,96.4503,96.7929,4.31273,2.70805,263.924,79.2693,53.2799,42.6056,11.8248,0.724401
2554,8.80779,0.889916,1.0411,152.875,202.853,122.998,69.8152,3.33782,1.85949,152.594,51.0345,44.6432,33.2823,6.07285,0.833945
2555,8.94466,0.873983,0.949635,151.128,197.01,119.557,61.881,3.10193,2.23029,95.3339,25.8718,22.0018,11.8144,3.60405,0.574321
2556,9.74239,4.01799,2.33473,84.4151,83.4673,52.4621,78.5561,4.97409,1.52201,59.076,21.3047,17.7525,18.7324,8.5167,0.350404
2557,9.293,3.03658,1.43627,204.478,117.638,66.9103,134.87,15.9095,2.1774,246.055,72.2988,61.823,40.1073,25.2539,1.52075
2558,9.26124,3.43226,1.81488,92.4444,85.1968,67.549,62.1389,3.9685,1.73128,165.789,43.9831,25.0607,14.2545,6.64266,0.309943
2559,9.541,3.41038,1.92197,19.9392,24.7583,14.5839,12.7699,1.06036,0.418736,12.6441,4.3783,3.58392,3.87185,1.86141,0.0755922
2560,9.29215,3.27149,1.95971,35.2932,30.0732,18.685,27.7168,1.27559,0.420528,18.2096,5.68882,4.7259,4.07933,2.159,0.113376
2561,9.25815,3.35067,1.84062,89.489,66.9328,41.8849,71.1327,3.57747,1.08881,66.9142,22.403,19.1222,16.2484,6.91331,0.401681
2562,9.55096,3.47191,1.91765,85.659,70.7755,42.5552,51.2209,6.90248,1.37501,103.576,29.8252,25.685,15.0901,11.3708,0.656174
2563,9.7051,3.30174,1.49905,70.8246,57.2619,34.1044,34.8115,5.41711,0.987737,98.1502,29.9127,26.1408,16.1327,8.61277,0.608639
