"TAZ","Type","HH","HH_POP","Median_Inc","Pct_Worker","Pct_Child","Pct_Senior","Industry","Office","Service_RateLow","Service_RateHigh","Retail","PctHighEarn","StudGQ_NCSU","StudGQ_UNC","StudGQ_DUKE","StudGQ_NCCU","StudOff_NCSU","StudOff_UNC","StudOff_DUKE","StudOff_NCCU","BuildingS_NCSU","BuildingS_UNC","BuildingS_DUKE","BuildingS_NCCU","K12","CollegeOn","CollegeOff","Hospital","TraumaLevel","ParkDistrict","ParkCostW","ParkCostU","ParkCostO","EmpSpaces","StudSpaces","OtherSpaces","AWDT","PCTCV","PCTAUTOEE","PCTCVEE","TotalEmp","Density","AreaType","ATSmoothed","walkability_attr","gs_home_attr","gs_work_attr","gs_other_attr","gs_total_attr","GSIndex","ApproachDensity","walk_attr_dens","IndEmpDensity","ApproachDensity_z","IndEmpDensity_z","walk_attr_dens_z","GSIndex_z","Walkability","wHH","wK12","wStudGQ_NCSU","wStudGQ_UNC","wStudGQ_DUKE","wStudGQ_NCCU","wCollegeOn","wRetail","wTotalEmp","PctNearBusStop","access_general_sov_attr","access_nearby_sov_attr","access_walk_attr","access_employment_sov_attr","access_hospital_sov_attr","access_general_sov","access_nearby_sov","access_walk","access_employment_sov","access_hospital_sov","access_transit_attr","access_transit"
2336,"Internal",572,1476,89750,52,19.3000,8.4,28,54,167,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,4,5592.55,"Urban",1,2286.70,3718.00,375,2052.10,6145.10,0.518692,23.0309,17690.93,80.6083,-0.0846898,-0.139482,-0.126024,0.354586,0.123158,70.4464,0.00,0.00,0.00,0.00,0.00,0.00,0.123158,0.492632,0.523799,2286.70,531.5,2.64567,250,0.00,12.1667,8.8299,1.569,11.7322,0.00,531.5,0.825705
2337,"Internal",152,386,89750,52,19.3000,8.4,0,3,5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,3289.23,"Urban",1,325.8,988,12,321.6,1321.60,0.381829,0.00,10842.34,0.00,-0.282051,-0.252509,-0.217123,-1.10228,0.0997931,15.1685,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.276185,325.8,83.5,0.569473,8,0.00,12.1057,8.65652,1.16809,11.7213,0.00,83.5,0.400089
2338,"Internal",253,718,95726,58,19.8000,5.8,0,6,15,25,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,4599.71,"Urban",1,834.9,1644.50,78,772.5,2495.00,0.468722,22.5737,14080.34,0.00,-0.0886081,-0.252509,-0.174052,-0.177333,0.114894,29.0682,0.00,0.00,0.00,0.00,0.00,0.00,0.689365,0.114894,0.739949,834.9,202.1,1.09631,52,0.00,12.1846,9.28196,1.79319,11.6955,0.00,202.1,1.03867
2339,"Internal",302,606,65040,52,19.8000,18.0000,19,19,132,16,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,3,5457.39,"Suburban",1,1797.10,1963.00,301.5,1545.00,3809.50,0.563729,22.2486,21189.06,105.681,-0.0913935,-0.104325,-0.0794924,0.833982,0.130937,39.5429,0.00,0.00,0.00,0.00,0.00,0.00,1.96405,0.392811,0.983846,1797.10,409.1,1.49883,201,0.00,12.1903,9.06183,2.01316,11.7067,0.00,409.1,1.34416
2340,"Internal",83,205,90912,58,32.8000,5.9,0,3,70,60,10,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,2,1416.88,"Suburban",1,1081.70,539.5,214.5,875,1629.00,0.584459,12.0098,4890.99,0.00,-0.179134,-0.252509,-0.296287,1.05465,0.126778,10.5226,0.00,0.00,0.00,0.00,0.00,0.00,1.26778,0.253556,0.488566,1081.70,240,0.404257,143,0.00,12.1464,9.05641,1.29913,11.6812,0.00,240,1.21829
2341,"Internal",622,1379,95726,58,19.8000,5.8,11,164,132,14,3,38,0,0,0,0,24,0,0,0,0,0,0,0,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,6,6446.56,"Suburban",1,3744.50,4043.00,1650.00,2520.90,8213.90,0.623181,12.9988,26692.68,35.7467,-0.170659,-0.202386,-0.00628388,1.46683,0.140792,87.5729,109.255,0.00,0.00,0.00,0.00,0.00,0.422377,0.844755,0.367762,3744.50,586,3.85162,324,0.00,12.0273,8.67613,1.68856,11.6292,0.00,586,0.19431
2342,"Internal",208,625,90912,58,32.8000,5.9,3,31,36,0,5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,5146.31,"Suburban",1,792.3,1352.00,112.5,760.4,2224.90,0.511378,0.00,14967.62,20.182,-0.282051,-0.22421,-0.162249,0.276724,0.11784,24.5107,0.00,0.00,0.00,0.00,0.00,0.00,0.589199,0.11784,0.00,792.3,184.7,0.924483,75,0.00,11.8534,8.42163,1.40015,11.5362,0.00,184.7,0.00
2343,"Internal",323,905,122083,52,22.0000,14.0000,7,31,21,80,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,2,4083.89,"Suburban",1,1293.30,2099.50,208.5,1165.40,3473.40,0.518461,0.00,12181.80,24.5502,-0.282051,-0.218085,-0.199306,0.352125,0.117927,38.0904,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.235854,0.00,1293.30,301.7,1.43003,139,0.00,12.1305,8.84044,1.47413,11.7175,0.00,301.7,0.00
2344,"Internal",1002,1947,71514,56,14.2000,7.2,3,6,33,15,0,45,0,0,0,0,24,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,6331.19,"Suburban",1,2211.60,6513.00,97.5,2129.70,8740.20,0.385212,9.24986,26948.55,9.24986,-0.202785,-0.239539,-0.00288032,-1.06626,0.106014,106.226,0.848114,0.00,0.00,0.00,0.00,0.00,0.00,0.106014,0.00,2211.60,563.1,3.99241,57,0.00,12.1053,8.83746,1.63149,11.7246,0.00,563.1,0.00
2345,"Internal",465,862,110729,51,28.7000,7.9,3,5,10,58,65,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,2,3690.75,"Suburban",1,2503.80,3022.50,211.5,2305.30,5539.30,0.527613,9.84048,18169.78,9.84048,-0.197724,-0.238711,-0.119654,0.449545,0.122637,57.0261,0.00,0.00,0.00,0.00,0.00,0.00,7.97139,0.245274,0.00,2503.80,584.6,2.19883,141,0.00,12.079,8.56032,0.938249,11.7574,0.00,584.6,0.00
