avg_size,siz1,siz2,siz3,siz4
2.14,0.3505,0.3752,0.1361,0.1382
2.15,0.3474,0.3754,0.1375,0.1397
2.16,0.3442,0.3758,0.1388,0.1412
2.17,0.3411,0.376,0.1402,0.1427
2.18,0.338,0.3762,0.1416,0.1442
2.19,0.335,0.3764,0.1429,0.1457
2.2,0.332,0.3765,0.1443,0.1472
2.21,0.329,0.3766,0.1456,0.1488
2.22,0.326,0.3766,0.147,0.1504
2.23,0.3231,0.3767,0.1483,0.1519
2.24,0.3202,0.3767,0.1496,0.1535
2.25,0.3173,0.3767,0.1509,0.1551
2.26,0.3144,0.3767,0.1522,0.1567
2.27,0.3116,0.3765,0.1535,0.1584
2.28,0.3088,0.3764,0.1548,0.16
2.29,0.3061,0.3761,0.1561,0.1617
2.3,0.3033,0.376,0.1574,0.1633
2.31,0.3006,0.3758,0.1586,0.165
2.32,0.2979,0.3754,0.1599,0.1668
2.33,0.2953,0.3751,0.1611,0.1685
2.34,0.2926,0.3749,0.1623,0.1702
2.35,0.29,0.3744,0.1636,0.172
2.36,0.2874,0.374,0.1648,0.1738
2.37,0.2849,0.3735,0.166,0.1756
2.38,0.2823,0.3731,0.1672,0.1774
2.39,0.2798,0.3727,0.1683,0.1792
2.4,0.2773,0.3721,0.1695,0.1811
2.41,0.2749,0.3714,0.1707,0.183
2.42,0.2724,0.3709,0.1718,0.1849
2.43,0.27,0.3703,0.1729,0.1868
2.44,0.2676,0.3697,0.174,0.1887
2.45,0.2652,0.3689,0.1752,0.1907
2.46,0.2629,0.3682,0.1762,0.1927
2.47,0.2606,0.3674,0.1773,0.1947
2.48,0.2583,0.3666,0.1784,0.1967
2.49,0.256,0.3659,0.1794,0.1987
2.5,0.2537,0.365,0.1805,0.2008
2.51,0.2515,0.3641,0.1815,0.2029
2.52,0.2493,0.3632,0.1825,0.205
2.53,0.2471,0.3623,0.1835,0.2071
2.54,0.2449,0.3613,0.1845,0.2093
2.55,0.2427,0.3604,0.1854,0.2115
2.56,0.2406,0.3593,0.1864,0.2137
2.57,0.2385,0.3583,0.1873,0.2159
2.58,0.2363,0.3573,0.1882,0.2182
2.59,0.2343,0.3561,0.1891,0.2205
2.6,0.2322,0.355,0.19,0.2228
2.61,0.2302,0.3539,0.1908,0.2251
2.62,0.2281,0.3527,0.1917,0.2275
2.63,0.2261,0.3515,0.1925,0.2299
2.64,0.2241,0.3503,0.1933,0.2323
2.65,0.2221,0.3491,0.1941,0.2347
2.66,0.2202,0.3477,0.1949,0.2372
2.67,0.2182,0.3465,0.1956,0.2397
2.68,0.2163,0.3452,0.1963,0.2422
2.69,0.2144,0.3437,0.1971,0.2448
2.7,0.2125,0.3423,0.1978,0.2474
