to_field,from_field,factor
AttrOff_UHO_DUKE_AM,AttrOff_UHO_DUKE,0.288
AttrOff_UHO_DUKE_MD,AttrOff_UHO_DUKE,0.193
AttrOff_UHO_DUKE_PM,AttrOff_UHO_DUKE,0.282
AttrOff_UHO_DUKE_NT,AttrOff_UHO_DUKE,0.237
Attr_UCO_DUKE_AM,Attr_UCO_DUKE,0.288
Attr_UCO_DUKE_MD,Attr_UCO_DUKE,0.193
Attr_UCO_DUKE_PM,Attr_UCO_DUKE,0.282
Attr_UCO_DUKE_NT,Attr_UCO_DUKE,0.237
Attr_UCC_DUKE_AM,Attr_UCC_DUKE,0.288
Attr_UCC_DUKE_MD,Attr_UCC_DUKE,0.193
Attr_UCC_DUKE_PM,Attr_UCC_DUKE,0.282
Attr_UCC_DUKE_NT,Attr_UCC_DUKE,0.237
Attr_UC1_DUKE_AM,Attr_UC1_DUKE,0.288
Attr_UC1_DUKE_MD,Attr_UC1_DUKE,0.193
Attr_UC1_DUKE_PM,Attr_UC1_DUKE,0.282
Attr_UC1_DUKE_NT,Attr_UC1_DUKE,0.237
ProdOn_UHC_NCCU_AM,ProdOn_UHC_NCCU,0.288
ProdOn_UHC_NCCU_MD,ProdOn_UHC_NCCU,0.193
ProdOn_UHC_NCCU_PM,ProdOn_UHC_NCCU,0.282
ProdOn_UHC_NCCU_NT,ProdOn_UHC_NCCU,0.237
ProdOff_UHC_NCCU_AM,ProdOff_UHC_NCCU,0.288
ProdOff_UHC_NCCU_MD,ProdOff_UHC_NCCU,0.193
ProdOff_UHC_NCCU_PM,ProdOff_UHC_NCCU,0.282
ProdOff_UHC_NCCU_NT,ProdOff_UHC_NCCU,0.237
ProdOn_UHO_NCCU_AM,ProdOn_UHO_NCCU,0.288
ProdOn_UHO_NCCU_MD,ProdOn_UHO_NCCU,0.193
ProdOn_UHO_NCCU_PM,ProdOn_UHO_NCCU,0.282
ProdOn_UHO_NCCU_NT,ProdOn_UHO_NCCU,0.237
ProdOff_UHO_NCCU_AM,ProdOff_UHO_NCCU,0.288
ProdOff_UHO_NCCU_MD,ProdOff_UHO_NCCU,0.193
ProdOff_UHO_NCCU_PM,ProdOff_UHO_NCCU,0.282
ProdOff_UHO_NCCU_NT,ProdOff_UHO_NCCU,0.237
Prod_UCO_NCCU_AM,Prod_UCO_NCCU,0.288
Prod_UCO_NCCU_MD,Prod_UCO_NCCU,0.193
Prod_UCO_NCCU_PM,Prod_UCO_NCCU,0.282
Prod_UCO_NCCU_NT,Prod_UCO_NCCU,0.237
Prod_UCC_NCCU_AM,Prod_UCC_NCCU,0.288
Prod_UCC_NCCU_MD,Prod_UCC_NCCU,0.193
Prod_UCC_NCCU_PM,Prod_UCC_NCCU,0.282
Prod_UCC_NCCU_NT,Prod_UCC_NCCU,0.237
Prod_UC1_NCCU_AM,Prod_UC1_NCCU,0.288
Prod_UC1_NCCU_MD,Prod_UC1_NCCU,0.193
Prod_UC1_NCCU_PM,Prod_UC1_NCCU,0.282
Prod_UC1_NCCU_NT,Prod_UC1_NCCU,0.237
AttrOn_UHC_NCCU_AM,AttrOn_UHC_NCCU,0.288
AttrOn_UHC_NCCU_MD,AttrOn_UHC_NCCU,0.193
AttrOn_UHC_NCCU_PM,AttrOn_UHC_NCCU,0.282
AttrOn_UHC_NCCU_NT,AttrOn_UHC_NCCU,0.237
AttrOff_UHC_NCCU_AM,AttrOff_UHC_NCCU,0.288
AttrOff_UHC_NCCU_MD,AttrOff_UHC_NCCU,0.193
AttrOff_UHC_NCCU_PM,AttrOff_UHC_NCCU,0.282
AttrOff_UHC_NCCU_NT,AttrOff_UHC_NCCU,0.237
AttrOn_UHO_NCCU_AM,AttrOn_UHO_NCCU,0.288
AttrOn_UHO_NCCU_MD,AttrOn_UHO_NCCU,0.193
AttrOn_UHO_NCCU_PM,AttrOn_UHO_NCCU,0.282
AttrOn_UHO_NCCU_NT,AttrOn_UHO_NCCU,0.237
AttrOff_UHO_NCCU_AM,AttrOff_UHO_NCCU,0.288
AttrOff_UHO_NCCU_MD,AttrOff_UHO_NCCU,0.193
AttrOff_UHO_NCCU_PM,AttrOff_UHO_NCCU,0.282
AttrOff_UHO_NCCU_NT,AttrOff_UHO_NCCU,0.237
Attr_UCO_NCCU_AM,Attr_UCO_NCCU,0.288
Attr_UCO_NCCU_MD,Attr_UCO_NCCU,0.193
Attr_UCO_NCCU_PM,Attr_UCO_NCCU,0.282
Attr_UCO_NCCU_NT,Attr_UCO_NCCU,0.237
Attr_UCC_NCCU_AM,Attr_UCC_NCCU,0.288
Attr_UCC_NCCU_MD,Attr_UCC_NCCU,0.193
Attr_UCC_NCCU_PM,Attr_UCC_NCCU,0.282
Attr_UCC_NCCU_NT,Attr_UCC_NCCU,0.237
Attr_UC1_NCCU_AM,Attr_UC1_NCCU,0.288
Attr_UC1_NCCU_MD,Attr_UC1_NCCU,0.193
Attr_UC1_NCCU_PM,Attr_UC1_NCCU,0.282
Attr_UC1_NCCU_NT,Attr_UC1_NCCU,0.237
