taz,airport_productions,lng,lat,Type,HH,HH_POP,Median_Inc,Pct_Worker,Pct_Child,Pct_Senior,Stud_GQ,Other_NonInst_GQ,Inst_GQ,Total_POP,Industry,Office,Service_RateLow,Service_RateHigh,Retail,PctHighEarn,StudGQ_NCSU,StudGQ_UNC,StudGQ_DUKE,StudGQ_NCCU,StudOff_NCSU,StudOff_UNC,StudOff_DUKE,StudOff_NCCU,BuildingS_NCSU,BuildingS_UNC,BuildingS_DUKE,BuildingS_NCCU,K12,CollegeOn,CollegeOff,TraumaLevel,ParkCostW,ParkCostO,ParkCostU,ADT,PCTCV,PCTAUTOEE,PCTCVEE,dist_to_airport_miles,employment,workers,high_earners,high_earn_distance,observed_productions,estimated_productions
127,0,-78.90911410468007,36.0068388773652,Internal,541,1088,59107,57,18.6,8.7,0,6,0,1094,14,123,22,6,0,34,0,0,0,0,0,0,119,11,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,20.36035,165,620.16,210.8544,4293.06938304,0,28.587047231379003
141,0,-78.92636965403676,36.00883759206885,Internal,163,262,48250,56,7.4,6.1,0,0,0,262,0,154,195,95,132,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,267,200,74,0,0,0,0,18.951851,576,146.72000000000003,32.278400000000005,611.7354273184002,0,15.721353858374972
142,9,-78.9236540433232,36.008424555633425,Internal,548,957,48250,56,7.4,6.1,0,0,0,957,4,17,126,144,304,22,0,0,0,0,0,0,1015,0,0,0,0,0,0,0,0,0,267,200,74,0,0,0,0,19.255821,595,535.9200000000001,117.90240000000001,2270.3075098704003,9.687936296348266,25.249862743427393
143,3,-78.92092942823402,36.00692226323203,Internal,0,0,48250,56,7.4,6.1,0,0,0,0,1,1,41,0,242,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,200,74,0,0,0,0,19.018822,285,0,0,0,3.229312098782755,8.062350548379813
144,5,-78.9441457894919,36.01704677025153,Internal,0,0,30625,43,10.1,2.5,0,0,0,0,0,32,194,27,323,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.32519,576,0,0,0,5.382186831304592,12.193998909181861
152,3,-78.92082578353596,36.00967307676691,Internal,232,424,48250,56,7.4,6.1,0,0,0,424,20,159,425,37,419,17,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,267,200,74,0,0,0,0,19.165251,1060,237.44000000000003,40.36480000000001,773.6015235648002,3.229312098782755,23.453315850859113
157,0,-78.92361038861303,36.00270217555309,Internal,279,500,16250,47,2.5,2.5,48,0,0,548,30,64,4,0,0,8,0,0,48,0,0,0,6,0,0,0,12,0,0,0,0,0,267,200,74,0,0,0,0,19.079136,98,235,18.8,358.6877568,0,7.455197566844994
165,1,-78.92876176627585,35.97717524000527,Internal,1030,2291,42831,54,20.2,11.7,0,128,0,2419,28,115,546,29,312,26,0,0,0,0,0,69,74,22,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,21.372507,1030,1237.14,321.6564,6874.6036605948,1.0764373662609183,51.65746310415733
167,0,-78.93929728020339,35.97934777687089,Internal,100,231,44250,54,20.9,3.5,0,6,0,237,4,22,25,4,6,48,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.665157,61,124.74000000000001,59.8752,1237.3304084064,0,11.14408348208054
177,0,-78.91168636572758,35.99962731006927,Internal,4,4,29267,52,13.6,17.7,0,0,0,4,20,280,239,12,120,14,0,0,0,0,0,0,182,4,0,0,0,0,0,0,0,0,268,150,0,0,0,0,0,19.77025,671,2.08,0.2912,5.7570968,0,13.573988096508925
