sourceTypeID,MOVEStype,hourDayID,hourID,dayID,TOD,avgSpeedBinID,DefaultFraction
11,2,152,15,2,MD,9,0.00534096
11,2,152,15,2,MD,10,0.00770428
11,2,152,15,2,MD,11,0.0140712
11,2,152,15,2,MD,12,0.0334801
11,2,152,15,2,MD,13,0.0802957
11,2,152,15,2,MD,14,0.164913
11,2,152,15,2,MD,15,0.268621
11,2,152,15,2,MD,16,0.391566
11,2,162,16,2,PM,1,0.00356821
11,2,162,16,2,PM,2,0.00755746
11,2,162,16,2,PM,3,0.00520649
11,2,162,16,2,PM,4,0.0039442
11,2,162,16,2,PM,5,0.00350555
11,2,162,16,2,PM,6,0.00338984
11,2,162,16,2,PM,7,0.00364642
11,2,162,16,2,PM,8,0.00431667
11,2,162,16,2,PM,9,0.00547957
11,2,162,16,2,PM,10,0.00781031
11,2,162,16,2,PM,11,0.014105
11,2,162,16,2,PM,12,0.0330864
11,2,162,16,2,PM,13,0.0789327
11,2,162,16,2,PM,14,0.163268
11,2,162,16,2,PM,15,0.268231
11,2,162,16,2,PM,16,0.393952
11,2,172,17,2,PM,1,0.00369565
11,2,172,17,2,PM,2,0.00755662
11,2,172,17,2,PM,3,0.00521876
11,2,172,17,2,PM,4,0.00402152
11,2,172,17,2,PM,5,0.00360795
11,2,172,17,2,PM,6,0.0035125
11,2,172,17,2,PM,7,0.00378095
11,2,172,17,2,PM,8,0.00446256
11,2,172,17,2,PM,9,0.00563084
11,2,172,17,2,PM,10,0.00797412
11,2,172,17,2,PM,11,0.0141973
11,2,172,17,2,PM,12,0.0329667
11,2,172,17,2,PM,13,0.0783667
11,2,172,17,2,PM,14,0.162866
11,2,172,17,2,PM,15,0.267939
11,2,172,17,2,PM,16,0.394202
11,2,182,18,2,PM,1,0.00372645
11,2,182,18,2,PM,2,0.00753366
11,2,182,18,2,PM,3,0.00517913
11,2,182,18,2,PM,4,0.0040121
11,2,182,18,2,PM,5,0.00366494
11,2,182,18,2,PM,6,0.00362302
11,2,182,18,2,PM,7,0.00395201
11,2,182,18,2,PM,8,0.00469942
11,2,182,18,2,PM,9,0.00595474
11,2,182,18,2,PM,10,0.00847507
11,2,182,18,2,PM,11,0.0151357
11,2,182,18,2,PM,12,0.0344648
11,2,182,18,2,PM,13,0.0803295
11,2,182,18,2,PM,14,0.164127
11,2,182,18,2,PM,15,0.266241
11,2,182,18,2,PM,16,0.388881
11,2,192,19,2,NT,1,0.00379979
11,2,192,19,2,NT,2,0.00697236
11,2,192,19,2,NT,3,0.00456692
11,2,192,19,2,NT,4,0.0035251
11,2,192,19,2,NT,5,0.00325229
11,2,192,19,2,NT,6,0.00330295
11,2,192,19,2,NT,7,0.00373001
11,2,192,19,2,NT,8,0.00459582
11,2,192,19,2,NT,9,0.00602828
11,2,192,19,2,NT,10,0.00885695
11,2,192,19,2,NT,11,0.0159891
11,2,192,19,2,NT,12,0.0360881
11,2,192,19,2,NT,13,0.0827581
11,2,192,19,2,NT,14,0.166926
11,2,192,19,2,NT,15,0.266566
11,2,192,19,2,NT,16,0.383042
11,2,202,20,2,NT,1,0.00324846
11,2,202,20,2,NT,2,0.00571917
11,2,202,20,2,NT,3,0.00369102
11,2,202,20,2,NT,4,0.00283933
11,2,202,20,2,NT,5,0.00256138
11,2,202,20,2,NT,6,0.00265997
11,2,202,20,2,NT,7,0.00315745
11,2,202,20,2,NT,8,0.00408296
11,2,202,20,2,NT,9,0.00563638
