id,name,total,poverty,non_poverty
1500000US370779706012,"Block Group 2, Census Tract 9706.01, Granville County, North Carolina",586,34,552
1500000US370779706021,"Block Group 1, Census Tract 9706.02, Granville County, North Carolina",1645,160,1485
1500000US370779706022,"Block Group 2, Census Tract 9706.02, Granville County, North Carolina",1346,119,1227
1500000US370779706031,"Block Group 1, Census Tract 9706.03, Granville County, North Carolina",250,19,231
1500000US370779707012,"Block Group 2, Census Tract 9707.01, Granville County, North Carolina",1138,92,1046
1500000US370779706032,"Block Group 2, Census Tract 9706.03, Granville County, North Carolina",376,14,362
1500000US370779706033,"Block Group 3, Census Tract 9706.03, Granville County, North Carolina",1845,132,1713
1500000US370779707011,"Block Group 1, Census Tract 9707.01, Granville County, North Carolina",350,17,333
1500000US370779707013,"Block Group 3, Census Tract 9707.01, Granville County, North Carolina",451,92,359
1500000US370779707021,"Block Group 1, Census Tract 9707.02, Granville County, North Carolina",496,110,386
1500000US370779707022,"Block Group 2, Census Tract 9707.02, Granville County, North Carolina",277,18,259
1500000US370779707031,"Block Group 1, Census Tract 9707.03, Granville County, North Carolina",1060,172,888
1500000US370779707032,"Block Group 2, Census Tract 9707.03, Granville County, North Carolina",30,0,30
1500000US370779707041,"Block Group 1, Census Tract 9707.04, Granville County, North Carolina",0,0,0
1500000US370779706011,"Block Group 1, Census Tract 9706.01, Granville County, North Carolina",1373,208,1165
1500000US370850704011,"Block Group 1, Census Tract 704.01, Harnett County, North Carolina",775,170,605
1500000US370850704012,"Block Group 2, Census Tract 704.01, Harnett County, North Carolina",817,109,708
1500000US370850704021,"Block Group 1, Census Tract 704.02, Harnett County, North Carolina",1104,204,900
1500000US370850704023,"Block Group 3, Census Tract 704.02, Harnett County, North Carolina",765,188,577
1500000US370850708011,"Block Group 1, Census Tract 708.01, Harnett County, North Carolina",892,196,696
1500000US370850708022,"Block Group 2, Census Tract 708.02, Harnett County, North Carolina",920,356,564
1500000US370850709011,"Block Group 1, Census Tract 709.01, Harnett County, North Carolina",1146,47,1099
1500000US370850709031,"Block Group 1, Census Tract 709.03, Harnett County, North Carolina",883,120,763
1500000US370850709041,"Block Group 1, Census Tract 709.04, Harnett County, North Carolina",433,76,357
1500000US370850710011,"Block Group 1, Census Tract 710.01, Harnett County, North Carolina",1085,95,990
1500000US370850710012,"Block Group 2, Census Tract 710.01, Harnett County, North Carolina",811,63,748
1500000US370850710022,"Block Group 2, Census Tract 710.02, Harnett County, North Carolina",317,19,298
1500000US370850704022,"Block Group 2, Census Tract 704.02, Harnett County, North Carolina",584,125,459
1500000US370850708021,"Block Group 1, Census Tract 708.02, Harnett County, North Carolina",310,24,286
1500000US370850709021,"Block Group 1, Census Tract 709.02, Harnett County, North Carolina",1096,55,1041
1500000US370850709042,"Block Group 2, Census Tract 709.04, Harnett County, North Carolina",848,64,784
1500000US370850710021,"Block Group 1, Census Tract 710.02, Harnett County, North Carolina",926,81,845
1500000US370690607003,"Block Group 3, Census Tract 607, Franklin County, North Carolina",783,16,767
1500000US370690608012,"Block Group 2, Census Tract 608.01, Franklin County, North Carolina",901,47,854
1500000US370690608021,"Block Group 1, Census Tract 608.02, Franklin County, North Carolina",1136,66,1070
1500000US370690603013,"Block Group 3, Census Tract 603.01, Franklin County, North Carolina",565,51,514
1500000US370690603011,"Block Group 1, Census Tract 603.01, Franklin County, North Carolina",719,117,602
1500000US370690603012,"Block Group 2, Census Tract 603.01, Franklin County, North Carolina",781,83,698
1500000US370690603021,"Block Group 1, Census Tract 603.02, Franklin County, North Carolina",502,156,346
1500000US370690603022,"Block Group 2, Census Tract 603.02, Franklin County, North Carolina",610,148,462
1500000US370690604011,"Block Group 1, Census Tract 604.01, Franklin County, North Carolina",1086,222,864
1500000US370690604021,"Block Group 1, Census Tract 604.02, Franklin County, North Carolina",1054,260,794
1500000US370690604022,"Block Group 2, Census Tract 604.02, Franklin County, North Carolina",246,11,235
1500000US370690604023,"Block Group 3, Census Tract 604.02, Franklin County, North Carolina",712,219,493
1500000US370690605011,"Block Group 1, Census Tract 605.01, Franklin County, North Carolina",1431,82,1349
1500000US370690605021,"Block Group 1, Census Tract 605.02, Franklin County, North Carolina",979,31,948
1500000US370690605022,"Block Group 2, Census Tract 605.02, Franklin County, North Carolina",1257,57,1200
